file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha,commit_idx,refactoring_idx,description,has_left_locations,has_right_locations
src/test/java/org/apache/commons/lang3/ValidateTest.java,Extract And Move Method,16,5,3,6b93cbe15693055e50a7f8550bd2baa93fa7f870,139,139,Extract And Move Method public assertNullPointerException(executable Executable) : NullPointerException extracted from package shouldThrowNullPointerExceptionWithDefaultMessageForNullArray() : void in class org.apache.commons.lang3.ValidateTest.NoNullElements.WithArray.WithoutMessage & moved to class org.apache.commons.lang3.LangAssertions,True,True
src/test/java/org/apache/commons/lang3/CharUtilsTest.java,Extract And Move Method,18,6,3,6b93cbe15693055e50a7f8550bd2baa93fa7f870,79,79,Extract And Move Method public assertNullPointerException(executable Executable) : NullPointerException extracted from package testToChar_Character() : void in class org.apache.commons.lang3.CharUtilsTest & moved to class org.apache.commons.lang3.LangAssertions,True,True
src/test/java/org/apache/commons/lang3/RangeTest.java,Extract And Move Method,70,10,3,6b93cbe15693055e50a7f8550bd2baa93fa7f870,116,116,Extract And Move Method public assertNullPointerException(executable Executable) : NullPointerException extracted from package testOfWithCompare() : void in class org.apache.commons.lang3.RangeTest & moved to class org.apache.commons.lang3.LangAssertions,True,True
src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java,Add Class Modifier,88,10,1,2660bbad3b319de5f421cbdd0a32285ad71e5df1,18,18,Add Class Modifier final in class org.apache.commons.lang3.time.FastDatePrinter.TwelveHourField,True,True
src/test/java/org/apache/commons/lang3/math/NumberUtilsTest.java,Extract And Move Method,14,4,3,6b93cbe15693055e50a7f8550bd2baa93fa7f870,223,223,Extract And Move Method public assertNullPointerException(executable Executable) : NullPointerException extracted from package testMaxLong_nullArray() : void in class org.apache.commons.lang3.math.NumberUtilsTest & moved to class org.apache.commons.lang3.LangAssertions,True,True
src/test/java/org/apache/commons/lang3/LongRangeTest.java,Extract And Move Method,22,7,3,6b93cbe15693055e50a7f8550bd2baa93fa7f870,104,104,Extract And Move Method public assertNullPointerException(executable Executable) : NullPointerException extracted from package testFitNull() : void in class org.apache.commons.lang3.LongRangeTest & moved to class org.apache.commons.lang3.LangAssertions,True,True
src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,Extract And Move Method,14,4,3,6b93cbe15693055e50a7f8550bd2baa93fa7f870,271,271,Extract And Move Method public assertNullPointerException(executable Executable) : NullPointerException extracted from package testGetMethodsListWithAnnotationNullPointerException1() : void in class org.apache.commons.lang3.reflect.MethodUtilsTest & moved to class org.apache.commons.lang3.LangAssertions,True,True
src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java,Add Class Modifier,64,10,1,2660bbad3b319de5f421cbdd0a32285ad71e5df1,31,31,Add Class Modifier final in class org.apache.commons.lang3.time.FastDatePrinter.CharacterLiteral,True,True
src/test/java/org/apache/commons/lang3/reflect/FieldUtilsTest.java,Extract And Move Method,14,4,3,6b93cbe15693055e50a7f8550bd2baa93fa7f870,254,254,Extract And Move Method public assertNullPointerException(executable Executable) : NullPointerException extracted from package testGetDeclaredFieldAccessNullPointerException() : void in class org.apache.commons.lang3.reflect.FieldUtilsTest & moved to class org.apache.commons.lang3.LangAssertions,True,True
src/test/java/org/apache/commons/lang3/ValidateTest.java,Extract And Move Method,16,5,3,6b93cbe15693055e50a7f8550bd2baa93fa7f870,148,148,Extract And Move Method public assertNullPointerException(executable Executable) : NullPointerException extracted from package shouldThrowNullPointerExceptionWithGivenMessageForNullCharSequence() : void in class org.apache.commons.lang3.ValidateTest.NotEmpty.WithCharSequence.WithMessage & moved to class org.apache.commons.lang3.LangAssertions,True,True
