file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha
src/test/java/org/apache/commons/lang3/time/DateUtilsTest.java,Extract And Move Method,19,1,1,dummy_commit_294
src/test/java/org/apache/commons/lang3/RandomStringUtilsTest.java,Extract And Move Method,15,1,1,dummy_commit_453
src/test/java/org/apache/commons/lang3/reflect/FieldUtilsTest.java,Extract And Move Method,35,1,1,dummy_commit_638
src/test/java/org/apache/commons/lang3/ValidateTest.java,Extract And Move Method,5,1,1,dummy_commit_139
src/test/java/org/apache/commons/lang3/ValidateTest.java,Extract And Move Method,5,1,1,dummy_commit_539
src/main/java/org/apache/commons/lang3/text/ExtendedMessageFormat.java,Add Variable Modifier,1,1,1,dummy_commit_365
src/test/java/org/apache/commons/lang3/ValidateTest.java,Extract And Move Method,6,1,1,dummy_commit_513
src/test/java/org/apache/commons/lang3/ValidateTest.java,Extract And Move Method,5,1,1,dummy_commit_584
src/test/java/org/apache/commons/lang3/mutable/MutableBooleanTest.java,Extract And Move Method,5,1,1,dummy_commit_231
src/test/java/org/apache/commons/lang3/function/MethodInvokersFailableBiFunctionTest.java,Extract And Move Method,4,1,1,dummy_commit_210
src/test/java/org/apache/commons/lang3/reflect/FieldUtilsTest.java,Extract And Move Method,37,1,1,dummy_commit_811
src/test/java/org/apache/commons/lang3/ObjectUtilsTest.java,Extract And Move Method,66,1,1,dummy_commit_760
src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveTest.java,Extract And Move Method,19,1,1,dummy_commit_904
src/test/java/org/apache/commons/lang3/time/DateUtilsTest.java,Extract And Move Method,24,1,1,dummy_commit_319
src/test/java/org/apache/commons/lang3/ValidateTest.java,Extract And Move Method,6,1,1,dummy_commit_534
src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java,Add Class Modifier,32,1,1,dummy_commit_31
src/test/java/org/apache/commons/lang3/mutable/MutableDoubleTest.java,Extract And Move Method,5,1,1,dummy_commit_237
src/test/java/org/apache/commons/lang3/RangeTest.java,Extract And Move Method,32,1,1,dummy_commit_113
src/test/java/org/apache/commons/lang3/reflect/FieldUtilsTest.java,Extract And Move Method,4,1,1,dummy_commit_635
src/test/java/org/apache/commons/lang3/time/DateUtilsTest.java,Extract And Move Method,24,1,1,dummy_commit_826
src/test/java/org/apache/commons/lang3/time/DateUtilsFragmentTest.java,Extract And Move Method,8,1,1,dummy_commit_715
src/test/java/org/apache/commons/lang3/StringUtilsTest.java,Extract And Move Method,92,1,1,dummy_commit_784
src/test/java/org/apache/commons/lang3/math/NumberUtilsTest.java,Extract And Move Method,4,1,1,dummy_commit_617
src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,Extract And Move Method,9,1,1,dummy_commit_423
src/test/java/org/apache/commons/lang3/math/NumberUtilsTest.java,Extract And Move Method,4,1,1,dummy_commit_622
src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,Extract And Move Method,170,1,1,dummy_commit_851
src/test/java/org/apache/commons/lang3/builder/HashCodeBuilderTest.java,Extract And Move Method,4,1,1,dummy_commit_593
src/test/java/org/apache/commons/lang3/StringUtilsAbbreviateTest.java,Extract And Move Method,32,1,1,dummy_commit_765
src/test/java/org/apache/commons/lang3/reflect/FieldUtilsTest.java,Extract And Move Method,37,1,1,dummy_commit_655
src/test/java/org/apache/commons/lang3/time/DateUtilsTest.java,Extract And Move Method,4,1,1,dummy_commit_310
src/test/java/org/apache/commons/lang3/mutable/MutableIntTest.java,Extract And Move Method,4,1,1,dummy_commit_244
src/test/java/org/apache/commons/lang3/function/MethodInvokersBiFunctionTest.java,Extract And Move Method,4,1,1,dummy_commit_208
src/test/java/org/apache/commons/lang3/time/DateUtilsTest.java,Extract And Move Method,4,1,1,dummy_commit_328
src/test/java/org/apache/commons/lang3/function/MethodInvokersFailableBiConsumerTest.java,Extract And Move Method,4,1,1,dummy_commit_209
src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveMultipleTest.java,Extract And Move Method,4,1,1,dummy_commit_890
src/test/java/org/apache/commons/lang3/reflect/FieldUtilsTest.java,Extract And Move Method,4,1,1,dummy_commit_260
src/test/java/org/apache/commons/lang3/ValidateTest.java,Extract And Move Method,6,1,1,dummy_commit_527
src/test/java/org/apache/commons/lang3/util/FluentBitSetTest.java,Extract And Move Method,186,1,1,dummy_commit_1030
src/test/java/org/apache/commons/lang3/time/DateUtilsTest.java,Extract And Move Method,19,1,1,dummy_commit_296
src/test/java/org/apache/commons/lang3/ValidateTest.java,Extract And Move Method,5,1,1,dummy_commit_158
src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,Extract And Move Method,170,1,1,dummy_commit_845
src/test/java/org/apache/commons/lang3/text/StrBuilderAppendInsertTest.java,Extract And Move Method,50,1,1,dummy_commit_989
src/test/java/org/apache/commons/lang3/ValidateTest.java,Extract And Move Method,5,1,1,dummy_commit_928
src/test/java/org/apache/commons/lang3/BooleanUtilsTest.java,Extract And Move Method,4,1,1,dummy_commit_76
src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Parameterize Variable,1,1,1,dummy_commit_10
src/test/java/org/apache/commons/lang3/text/StrBuilderTest.java,Extract And Move Method,25,1,1,dummy_commit_947
src/test/java/org/apache/commons/lang3/reflect/FieldUtilsTest.java,Extract And Move Method,43,1,1,dummy_commit_687
src/test/java/org/apache/commons/lang3/SystemPropertiesTest.java,Rename Attribute,1,1,1,dummy_commit_344
src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,Rename Method,7,1,1,dummy_commit_59
src/test/java/org/apache/commons/lang3/builder/HashCodeBuilderTest.java,Extract And Move Method,4,1,1,dummy_commit_168
src/test/java/org/apache/commons/lang3/RandomStringUtilsTest.java,Extract And Move Method,15,1,1,dummy_commit_458
src/test/java/org/apache/commons/lang3/concurrent/BasicThreadFactoryTest.java,Extract And Move Method,7,1,1,dummy_commit_174
src/test/java/org/apache/commons/lang3/reflect/FieldUtilsTest.java,Extract And Move Method,6,1,1,dummy_commit_660
src/test/java/org/apache/commons/lang3/text/StrBuilderAppendInsertTest.java,Extract And Move Method,217,1,1,dummy_commit_995
src/test/java/org/apache/commons/lang3/mutable/MutableLongTest.java,Extract And Move Method,4,1,1,dummy_commit_247
src/test/java/org/apache/commons/lang3/builder/ConversionTest.java,Extract And Move Method,4,1,1,dummy_commit_589
src/test/java/org/apache/commons/lang3/reflect/FieldUtilsTest.java,Extract And Move Method,4,1,1,dummy_commit_626
src/test/java/org/apache/commons/lang3/StringUtilsTest.java,Extract And Move Method,92,1,1,dummy_commit_781
