refactoring_type,file_path,method_name,class_name,lines_changed
Extract Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,11
Remove Variable Modifier,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetMatchingMethod,MethodUtilsTest,103
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,66
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,3
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,3
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,79
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,79
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,42
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,3
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,3
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,52
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,52
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,64
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,94
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,66
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,65
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,3
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,67
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,67
Assert Throws,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testInvokeMethod,MethodUtilsTest,75
Replace Conditional With Ternary,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,15
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,12
Extract Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,getVarArgs,MethodUtils,24
Extract Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,getVarArgs,MethodUtils,10
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,63
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,3
Replace Conditional With Ternary,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,83
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,80
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,80
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,62
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,3
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,3
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,71
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,71
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/FieldUtils.java,,FieldUtils,3
Inline Variable,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleMethodInaccessible,MethodUtilsTest,3
Inline Variable,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleMethodInaccessible,MethodUtilsTest,2
Add Parameter,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25
Remove Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25
Add Parameter,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19
Remove Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19
Remove Class Modifier,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,,MethodUtilsTest,20
Extract Method,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,100
Parameterize Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,2
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,2
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,39
Inline Variable,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleMethodInaccessible,MethodUtilsTest,3
Inline Variable,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleMethodInaccessible,MethodUtilsTest,2
Add Parameter,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25
Remove Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25
Add Parameter,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19
Remove Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19
Remove Class Modifier,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,,MethodUtilsTest,20
Extract Method,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,100
Parameterize Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,2
