refactoring_type,file_path,method_name,class_name,lines_changed,commit_sha
Extract Method,server/src/main/java/org/elasticsearch/index/codec/tsdb/es819/ES819TSDBDocValuesProducer.java,,ES819TSDBDocValuesProducer,603,d8ea8942a18969f8be3db174ac6a347ec1f11021
Add Parameter,server/src/main/java/org/elasticsearch/index/codec/tsdb/es819/ES819TSDBDocValuesProducer.java,public,ES819TSDBDocValuesProducer,50,d8ea8942a18969f8be3db174ac6a347ec1f11021
Add Parameter,server/src/main/java/org/elasticsearch/index/codec/tsdb/es819/ES819TSDBDocValuesProducer.java,public,ES819TSDBDocValuesProducer,20,d8ea8942a18969f8be3db174ac6a347ec1f11021
Add Parameter,server/src/main/java/org/elasticsearch/index/codec/tsdb/es819/ES819TSDBDocValuesProducer.java,public,ES819TSDBDocValuesProducer,20,d8ea8942a18969f8be3db174ac6a347ec1f11021
Add Parameter,server/src/main/java/org/elasticsearch/index/mapper/BlockLoader.java,public,BlockLoader,25,d8ea8942a18969f8be3db174ac6a347ec1f11021
Extract Variable,test/framework/src/main/java/org/elasticsearch/index/mapper/MapperTestCase.java,private,MapperTestCase,6,d8ea8942a18969f8be3db174ac6a347ec1f11021
Inline Variable,x-pack/plugin/esql/compute/src/test/java/org/elasticsearch/compute/lucene/read/SingletonDoubleBuilderTests.java,private,SingletonDoubleBuilderTests,3,d8ea8942a18969f8be3db174ac6a347ec1f11021
Inline Variable,x-pack/plugin/esql/compute/src/test/java/org/elasticsearch/compute/lucene/read/SingletonDoubleBuilderTests.java,public,SingletonDoubleBuilderTests,3,d8ea8942a18969f8be3db174ac6a347ec1f11021
Rename Method,server/src/main/java/org/elasticsearch/index/mapper/BlockLoader.java,,BlockLoader,2,d8ea8942a18969f8be3db174ac6a347ec1f11021
Change Parameter Type,server/src/main/java/org/elasticsearch/index/mapper/BlockLoader.java,public,BlockLoader,2,d8ea8942a18969f8be3db174ac6a347ec1f11021
Add Parameter,server/src/main/java/org/elasticsearch/index/mapper/BlockLoader.java,public,BlockLoader,3,d8ea8942a18969f8be3db174ac6a347ec1f11021
Rename Method,x-pack/plugin/esql/compute/src/main/java/org/elasticsearch/compute/lucene/read/SingletonDoubleBuilder.java,,SingletonDoubleBuilder,14,d8ea8942a18969f8be3db174ac6a347ec1f11021
Rename Class,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/toolchain/EarlyAccessCatalogJdkToolchainResolver.java,,EarlyAccessCatalogJdkToolchainResolver,54,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Merge Parameter,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/info/DefaultBuildParameterExtension.java,public,DefaultBuildParameterExtension,75,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Remove Parameter,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/info/DefaultBuildParameterExtension.java,public,DefaultBuildParameterExtension,72,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Rename Attribute,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/info/DefaultBuildParameterExtension.java,,DefaultBuildParameterExtension,2,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Change Attribute Type,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/info/DefaultBuildParameterExtension.java,,DefaultBuildParameterExtension,2,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Rename Method,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/info/GlobalBuildInfoPlugin.java,,GlobalBuildInfoPlugin,24,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Extract Method,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/info/GlobalBuildInfoPlugin.java,,GlobalBuildInfoPlugin,82,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Remove Method Annotation,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/info/GlobalBuildInfoPlugin.java,private,GlobalBuildInfoPlugin,12,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Change Return Type,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/info/GlobalBuildInfoPlugin.java,private,GlobalBuildInfoPlugin,49,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Replace Conditional With Ternary,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/info/GlobalBuildInfoPlugin.java,private,GlobalBuildInfoPlugin,28,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Extract Variable,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/info/GlobalBuildInfoPlugin.java,private,GlobalBuildInfoPlugin,3,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Rename Variable,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/info/GlobalBuildInfoPlugin.java,private,GlobalBuildInfoPlugin,4,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Merge Variable,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/info/GlobalBuildInfoPlugin.java,private,GlobalBuildInfoPlugin,27,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Change Return Type,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/info/GlobalBuildInfoPlugin.java,private,GlobalBuildInfoPlugin,26,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
