refactoring_type,class_name,method_name,lines_changed,cyclomatic_complexity,nesting_depth,file_path,commit_sha,class_encoded,method_encoded
Extract Method,ES819TSDBDocValuesProducer,,250,42,7,server/src/main/java/org/elasticsearch/index/codec/tsdb/es819/ES819TSDBDocValuesProducer.java,d8ea8942a18969f8be3db174ac6a347ec1f11021,212,0
Add Parameter,ES819TSDBDocValuesProducer,public,24,4,4,server/src/main/java/org/elasticsearch/index/codec/tsdb/es819/ES819TSDBDocValuesProducer.java,d8ea8942a18969f8be3db174ac6a347ec1f11021,212,4
Add Parameter,ES819TSDBDocValuesProducer,public,9,1,1,server/src/main/java/org/elasticsearch/index/codec/tsdb/es819/ES819TSDBDocValuesProducer.java,d8ea8942a18969f8be3db174ac6a347ec1f11021,212,4
Add Parameter,ES819TSDBDocValuesProducer,public,9,1,1,server/src/main/java/org/elasticsearch/index/codec/tsdb/es819/ES819TSDBDocValuesProducer.java,d8ea8942a18969f8be3db174ac6a347ec1f11021,212,4
Add Parameter,BlockLoader,public,8,5,1,server/src/main/java/org/elasticsearch/index/mapper/BlockLoader.java,d8ea8942a18969f8be3db174ac6a347ec1f11021,63,4
Extract Variable,MapperTestCase,private,4,1,1,test/framework/src/main/java/org/elasticsearch/index/mapper/MapperTestCase.java,d8ea8942a18969f8be3db174ac6a347ec1f11021,497,2
Inline Variable,SingletonDoubleBuilderTests,private,1,1,1,x-pack/plugin/esql/compute/src/test/java/org/elasticsearch/compute/lucene/read/SingletonDoubleBuilderTests.java,d8ea8942a18969f8be3db174ac6a347ec1f11021,831,2
Inline Variable,SingletonDoubleBuilderTests,public,1,1,1,x-pack/plugin/esql/compute/src/test/java/org/elasticsearch/compute/lucene/read/SingletonDoubleBuilderTests.java,d8ea8942a18969f8be3db174ac6a347ec1f11021,831,4
Rename Method,BlockLoader,,1,1,1,server/src/main/java/org/elasticsearch/index/mapper/BlockLoader.java,d8ea8942a18969f8be3db174ac6a347ec1f11021,63,0
Change Parameter Type,BlockLoader,public,1,1,1,server/src/main/java/org/elasticsearch/index/mapper/BlockLoader.java,d8ea8942a18969f8be3db174ac6a347ec1f11021,63,4
Add Parameter,BlockLoader,public,1,1,1,server/src/main/java/org/elasticsearch/index/mapper/BlockLoader.java,d8ea8942a18969f8be3db174ac6a347ec1f11021,63,4
Rename Method,SingletonDoubleBuilder,,6,2,1,x-pack/plugin/esql/compute/src/main/java/org/elasticsearch/compute/lucene/read/SingletonDoubleBuilder.java,d8ea8942a18969f8be3db174ac6a347ec1f11021,830,0
