refactoring_type,file_path,method_name,class_name,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha
Extract Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,11,2,0,1e455838963a99f7e76e334850c00293262f9573
Remove Variable Modifier,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetMatchingMethod,MethodUtilsTest,103,1,0,338a3777ce5b49f61f8785266351f2d3e374232e
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,66,1,0,91ebbc2d89c04696e43e9831eb5b455c00278890
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,3,2,1,91ebbc2d89c04696e43e9831eb5b455c00278890
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,3,2,1,91ebbc2d89c04696e43e9831eb5b455c00278890
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,79,2,1,91ebbc2d89c04696e43e9831eb5b455c00278890
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,79,2,1,91ebbc2d89c04696e43e9831eb5b455c00278890
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,42,1,1,91ebbc2d89c04696e43e9831eb5b455c00278890
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,3,1,0,91ebbc2d89c04696e43e9831eb5b455c00278890
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,3,1,0,91ebbc2d89c04696e43e9831eb5b455c00278890
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,52,1,0,91ebbc2d89c04696e43e9831eb5b455c00278890
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,52,1,0,91ebbc2d89c04696e43e9831eb5b455c00278890
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,64,1,0,91ebbc2d89c04696e43e9831eb5b455c00278890
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,94,1,0,91ebbc2d89c04696e43e9831eb5b455c00278890
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,66,1,0,91ebbc2d89c04696e43e9831eb5b455c00278890
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,65,2,1,91ebbc2d89c04696e43e9831eb5b455c00278890
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,3,1,0,91ebbc2d89c04696e43e9831eb5b455c00278890
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,67,1,0,91ebbc2d89c04696e43e9831eb5b455c00278890
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,67,1,0,91ebbc2d89c04696e43e9831eb5b455c00278890
Assert Throws,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testInvokeMethod,MethodUtilsTest,75,1,0,8a7b0da6fc783127f8272d955d9f06f1966949ec
Replace Conditional With Ternary,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,15,1,1,6b4c7d627967211b0528b32e5333547d4508f932
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,12,1,0,6b4c7d627967211b0528b32e5333547d4508f932
Extract Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,getVarArgs,MethodUtils,24,1,0,6fea2e95676f0c90d76ff7554e9d1b4c3826c214
Extract Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,getVarArgs,MethodUtils,10,5,2,6fea2e95676f0c90d76ff7554e9d1b4c3826c214
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,63,1,0,04e7885617298f55f773a9ceeb68162c81f38717
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,3,1,1,04e7885617298f55f773a9ceeb68162c81f38717
Replace Conditional With Ternary,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,83,3,0,04e7885617298f55f773a9ceeb68162c81f38717
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,80,1,1,04e7885617298f55f773a9ceeb68162c81f38717
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,80,1,1,04e7885617298f55f773a9ceeb68162c81f38717
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,62,1,0,04e7885617298f55f773a9ceeb68162c81f38717
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,3,1,0,04e7885617298f55f773a9ceeb68162c81f38717
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,3,1,0,04e7885617298f55f773a9ceeb68162c81f38717
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,71,1,0,04e7885617298f55f773a9ceeb68162c81f38717
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/ConstructorUtils.java,,ConstructorUtils,71,1,0,04e7885617298f55f773a9ceeb68162c81f38717
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/FieldUtils.java,,FieldUtils,3,1,0,aebecb3529c0ec7af4943a43c2febe0466640853
Inline Variable,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleMethodInaccessible,MethodUtilsTest,3,1,0,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Inline Variable,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleMethodInaccessible,MethodUtilsTest,2,1,0,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
