file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Rename Variable,1,1,1,dummy_commit_167
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Parameter Annotation,1,1,1,dummy_commit_33
platform/analysis-impl/src/com/intellij/codeInsight/completion/CompletionProcessBase.java,Add Parameter Annotation,1,1,1,dummy_commit_15
platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,Change Method Access Modifier,7,1,1,dummy_commit_316
platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,Change Method Access Modifier,15,1,1,dummy_commit_57
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Parameter Annotation,1,1,1,dummy_commit_291
platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,Change Variable Type,2,1,1,dummy_commit_76
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,Add Parameter Annotation,1,1,1,dummy_commit_119
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Parameter Annotation,1,1,1,dummy_commit_280
platform/analysis-api/src/com/intellij/openapi/vfs/newvfs/TransientVirtualFileImpl.java,Replace Attribute With Variable,1,1,1,dummy_commit_126
platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,Add Parameter Annotation,1,1,1,dummy_commit_234
platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,Add Parameter Annotation,1,1,1,dummy_commit_39
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Parameter Annotation,1,1,1,dummy_commit_274
platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,Change Method Access Modifier,4,1,1,dummy_commit_55
platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,Add Parameter Annotation,1,1,1,dummy_commit_289
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,Extract Method,38,1,1,dummy_commit_297
platform/analysis-api/src/com/intellij/openapi/vfs/newvfs/TransientVirtualFileImpl.java,Extract Method,14,1,1,dummy_commit_0
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,Change Method Access Modifier,3,1,1,dummy_commit_232
platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,Replace Variable With Attribute,1,1,1,dummy_commit_337
platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,Add Parameter Annotation,1,1,1,dummy_commit_101
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Attribute Annotation,1,1,1,dummy_commit_9
platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,Change Method Access Modifier,7,1,1,dummy_commit_181
platform/xdebugger-impl/src/com/intellij/xdebugger/impl/ui/tree/nodes/XEvaluationCallbackWithOrigin.java,Add Class Annotation,3,1,1,dummy_commit_72
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Parameter Annotation,1,1,1,dummy_commit_238
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Attribute Annotation,1,1,1,dummy_commit_261
platform/analysis-impl/src/com/intellij/codeInsight/completion/CompletionProcessEx.java,Add Parameter Annotation,1,1,1,dummy_commit_137
platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,Add Class Annotation,44,1,1,dummy_commit_323
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,Extract Method,38,1,1,dummy_commit_172
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Parameter Annotation,1,1,1,dummy_commit_152
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,Add Parameter Annotation,1,1,1,dummy_commit_371
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Parameter Annotation,1,1,1,dummy_commit_25
platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,Add Parameter Annotation,1,1,1,dummy_commit_108
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Rename Variable,1,1,1,dummy_commit_42
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Parameter Annotation,1,1,1,dummy_commit_362
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Parameter Annotation,1,1,1,dummy_commit_157
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,Add Parameter Annotation,1,1,1,dummy_commit_114
platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,Change Variable Type,1,1,1,dummy_commit_63
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Method Annotation,3,1,1,dummy_commit_22
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Parameter Annotation,1,1,1,dummy_commit_153
platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,Change Variable Type,1,1,1,dummy_commit_177
platform/analysis-api/src/com/intellij/openapi/vfs/newvfs/TransientVirtualFileImpl.java,Extract Method,14,1,1,dummy_commit_250
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Parameter Annotation,1,1,1,dummy_commit_266
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Parameter Annotation,1,1,1,dummy_commit_30
platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,Add Method Annotation,6,1,1,dummy_commit_220
platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,Add Parameter Annotation,1,1,1,dummy_commit_109
platform/lang-impl/src/com/intellij/codeInsight/completion/ActionTracker.java,Extract Method,17,1,1,dummy_commit_124
platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,Rename Variable,1,1,1,dummy_commit_90
platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,Change Method Access Modifier,7,1,1,dummy_commit_56
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Attribute Annotation,1,1,1,dummy_commit_5
platform/lang-impl/src/com/intellij/codeInsight/lookup/impl/LookupImpl.java,Add Parameter Annotation,1,1,1,dummy_commit_45
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,Add Parameter Annotation,1,1,1,dummy_commit_239
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Parameter Annotation,1,1,1,dummy_commit_145
platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,Add Parameter Annotation,1,1,1,dummy_commit_287
platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,Add Method Annotation,3,1,1,dummy_commit_219
platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,Rename Method,10,1,1,dummy_commit_208
platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,Add Method Annotation,6,1,1,dummy_commit_345
platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,Change Thrown Exception Type,1,1,1,dummy_commit_93
platform/analysis-api/src/com/intellij/openapi/vfs/newvfs/TransientVirtualFileImpl.java,Change Attribute Type,1,1,1,dummy_commit_3
