refactoring_type,file_path,method_name,class_name,lines_changed,commit_sha
Extract Method,platform/analysis-api/src/com/intellij/openapi/vfs/newvfs/TransientVirtualFileImpl.java,,TransientVirtualFileImpl,77,e6c9306615f1ecb1c375eda4df01efe3dd901cd9
Replace Attribute With Variable,platform/analysis-api/src/com/intellij/openapi/vfs/newvfs/TransientVirtualFileImpl.java,public,TransientVirtualFileImpl,4,e6c9306615f1ecb1c375eda4df01efe3dd901cd9
Rename Attribute,platform/analysis-api/src/com/intellij/openapi/vfs/newvfs/TransientVirtualFileImpl.java,,TransientVirtualFileImpl,2,e6c9306615f1ecb1c375eda4df01efe3dd901cd9
Change Attribute Type,platform/analysis-api/src/com/intellij/openapi/vfs/newvfs/TransientVirtualFileImpl.java,,TransientVirtualFileImpl,2,e6c9306615f1ecb1c375eda4df01efe3dd901cd9
Remove Attribute Modifier,platform/analysis-api/src/com/intellij/openapi/vfs/newvfs/TransientVirtualFileImpl.java,,TransientVirtualFileImpl,2,e6c9306615f1ecb1c375eda4df01efe3dd901cd9
Add Attribute Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,,CompletionProgressIndicator,3,d9a633b5b56343ae7667ee877387e894c48dd5a2
Add Attribute Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,,CompletionProgressIndicator,3,d9a633b5b56343ae7667ee877387e894c48dd5a2
Add Attribute Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,,CompletionProgressIndicator,3,d9a633b5b56343ae7667ee877387e894c48dd5a2
Add Attribute Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,,CompletionProgressIndicator,3,d9a633b5b56343ae7667ee877387e894c48dd5a2
Add Attribute Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,,CompletionProgressIndicator,3,d9a633b5b56343ae7667ee877387e894c48dd5a2
Add Attribute Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,,CompletionProgressIndicator,3,d9a633b5b56343ae7667ee877387e894c48dd5a2
Add Attribute Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,,CompletionProgressIndicator,3,d9a633b5b56343ae7667ee877387e894c48dd5a2
Add Parameter Annotation,platform/analysis-impl/src/com/intellij/codeInsight/completion/CompletionProcessEx.java,public,CompletionProcessEx,11,9075c2868897995aed0dfa7c7a29afab9eec0202
Rename Parameter,platform/analysis-impl/src/com/intellij/codeInsight/completion/CompletionProcessEx.java,public,CompletionProcessEx,2,9075c2868897995aed0dfa7c7a29afab9eec0202
Add Parameter Annotation,platform/analysis-impl/src/com/intellij/codeInsight/completion/BaseCompletionLookupArranger.java,public,BaseCompletionLookupArranger,35,6e96835a5997dfc842a223fe473363aeb2be4f4d
Add Parameter Annotation,platform/analysis-impl/src/com/intellij/codeInsight/completion/CompletionProcessBase.java,public,CompletionProcessBase,5,6e96835a5997dfc842a223fe473363aeb2be4f4d
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,private,CompletionProgressIndicator,91,6e96835a5997dfc842a223fe473363aeb2be4f4d
