refactoring_type,class_name,method_name,lines_changed,cyclomatic_complexity,nesting_depth,file_path,commit_sha,class_encoded,method_encoded
Extract Method,TransientVirtualFileImpl,,14,6,3,platform/analysis-api/src/com/intellij/openapi/vfs/newvfs/TransientVirtualFileImpl.java,e6c9306615f1ecb1c375eda4df01efe3dd901cd9,17,0
Replace Attribute With Variable,TransientVirtualFileImpl,public,1,1,1,platform/analysis-api/src/com/intellij/openapi/vfs/newvfs/TransientVirtualFileImpl.java,e6c9306615f1ecb1c375eda4df01efe3dd901cd9,17,4
Rename Attribute,TransientVirtualFileImpl,,1,1,1,platform/analysis-api/src/com/intellij/openapi/vfs/newvfs/TransientVirtualFileImpl.java,e6c9306615f1ecb1c375eda4df01efe3dd901cd9,17,0
Change Attribute Type,TransientVirtualFileImpl,,1,1,1,platform/analysis-api/src/com/intellij/openapi/vfs/newvfs/TransientVirtualFileImpl.java,e6c9306615f1ecb1c375eda4df01efe3dd901cd9,17,0
Remove Attribute Modifier,TransientVirtualFileImpl,,1,1,1,platform/analysis-api/src/com/intellij/openapi/vfs/newvfs/TransientVirtualFileImpl.java,e6c9306615f1ecb1c375eda4df01efe3dd901cd9,17,0
Add Attribute Annotation,CompletionProgressIndicator,,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,d9a633b5b56343ae7667ee877387e894c48dd5a2,9,0
Add Attribute Annotation,CompletionProgressIndicator,,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,d9a633b5b56343ae7667ee877387e894c48dd5a2,9,0
Add Attribute Annotation,CompletionProgressIndicator,,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,d9a633b5b56343ae7667ee877387e894c48dd5a2,9,0
Add Attribute Annotation,CompletionProgressIndicator,,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,d9a633b5b56343ae7667ee877387e894c48dd5a2,9,0
Add Attribute Annotation,CompletionProgressIndicator,,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,d9a633b5b56343ae7667ee877387e894c48dd5a2,9,0
Add Attribute Annotation,CompletionProgressIndicator,,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,d9a633b5b56343ae7667ee877387e894c48dd5a2,9,0
Add Attribute Annotation,CompletionProgressIndicator,,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,d9a633b5b56343ae7667ee877387e894c48dd5a2,9,0
Add Parameter Annotation,CompletionProcessEx,public,1,1,1,platform/analysis-impl/src/com/intellij/codeInsight/completion/CompletionProcessEx.java,9075c2868897995aed0dfa7c7a29afab9eec0202,8,4
Rename Parameter,CompletionProcessEx,public,1,1,1,platform/analysis-impl/src/com/intellij/codeInsight/completion/CompletionProcessEx.java,9075c2868897995aed0dfa7c7a29afab9eec0202,8,4
Add Parameter Annotation,BaseCompletionLookupArranger,public,1,1,1,platform/analysis-impl/src/com/intellij/codeInsight/completion/BaseCompletionLookupArranger.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,3,4
Add Parameter Annotation,CompletionProcessBase,public,1,1,1,platform/analysis-impl/src/com/intellij/codeInsight/completion/CompletionProcessBase.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,7,4
Add Parameter Annotation,CompletionProgressIndicator,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,9,2
Add Parameter Annotation,CompletionProgressIndicator,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,9,2
Add Parameter Annotation,CompletionProgressIndicator,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,9,2
Add Parameter Annotation,CompletionProgressIndicator,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,9,2
Add Parameter Annotation,CompletionProgressIndicator,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,9,2
Add Parameter Annotation,CompletionProgressIndicator,package,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,9,1
