file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha,commit_idx,refactoring_idx,description,has_left_locations,has_right_locations
share-coordinator/src/test/java/org/apache/kafka/coordinator/share/ShareCoordinatorServiceTest.java,Inline Variable,5,1,2,42f74a1c3afd693a16c3980ee022e82872e4bfa2,0,0,Inline Variable sharePartitionKey : int in method public testPartitionFor() : void from class org.apache.kafka.coordinator.share.ShareCoordinatorServiceTest,True,True
share-coordinator/src/test/java/org/apache/kafka/coordinator/share/ShareCoordinatorShardTest.java,Change Variable Type,26,8,2,42f74a1c3afd693a16c3980ee022e82872e4bfa2,1,1,"Change Variable Type result : ReadShareGroupStateResponseData to result : CoordinatorResult<ReadShareGroupStateResponseData,CoordinatorRecord> in method public testReadStateSuccess() : void from class org.apache.kafka.coordinator.share.ShareCoordinatorShardTest",True,True
share-coordinator/src/test/java/org/apache/kafka/coordinator/share/ShareCoordinatorShardTest.java,Change Variable Type,4,1,2,42f74a1c3afd693a16c3980ee022e82872e4bfa2,2,2,"Change Variable Type result : ReadShareGroupStateResponseData to result : CoordinatorResult<ReadShareGroupStateResponseData,CoordinatorRecord> in method public testReadStateInvalidRequestData() : void from class org.apache.kafka.coordinator.share.ShareCoordinatorShardTest",True,True
share-coordinator/src/test/java/org/apache/kafka/coordinator/share/ShareCoordinatorShardTest.java,Change Variable Type,4,1,2,42f74a1c3afd693a16c3980ee022e82872e4bfa2,3,3,"Change Variable Type result : ReadShareGroupStateResponseData to result : CoordinatorResult<ReadShareGroupStateResponseData,CoordinatorRecord> in method public testReadNullMetadataImage() : void from class org.apache.kafka.coordinator.share.ShareCoordinatorShardTest",True,True
share-coordinator/src/test/java/org/apache/kafka/coordinator/share/ShareCoordinatorShardTest.java,Change Variable Type,4,1,2,42f74a1c3afd693a16c3980ee022e82872e4bfa2,4,4,"Change Variable Type result : ReadShareGroupStateResponseData to result : CoordinatorResult<ReadShareGroupStateResponseData,CoordinatorRecord> in method public testReadStateFencedLeaderEpochError() : void from class org.apache.kafka.coordinator.share.ShareCoordinatorShardTest",True,True
share-coordinator/src/main/java/org/apache/kafka/coordinator/share/ShareCoordinatorService.java,Move Code,442,10,5,42f74a1c3afd693a16c3980ee022e82872e4bfa2,5,5,"Move Code from public readState(context RequestContext, request ReadShareGroupStateRequestData) : CompletableFuture<ReadShareGroupStateResponseData> to public readState(context RequestContext, request ReadShareGroupStateRequestData) : CompletableFuture<ReadShareGroupStateResponseData> in class org.apache.kafka.coordinator.share.ShareCoordinatorService",True,True
share-coordinator/src/main/java/org/apache/kafka/coordinator/share/ShareCoordinatorService.java,Extract Variable,34,10,1,42f74a1c3afd693a16c3980ee022e82872e4bfa2,6,6,"Extract Variable topicId : Uuid in method public readState(context RequestContext, request ReadShareGroupStateRequestData) : CompletableFuture<ReadShareGroupStateResponseData> from class org.apache.kafka.coordinator.share.ShareCoordinatorService",True,True
share-coordinator/src/main/java/org/apache/kafka/coordinator/share/ShareCoordinatorService.java,Rename Variable,35,10,2,42f74a1c3afd693a16c3980ee022e82872e4bfa2,7,7,"Rename Variable topicData : null to k : null in method public readState(context RequestContext, request ReadShareGroupStateRequestData) : CompletableFuture<ReadShareGroupStateResponseData> from class org.apache.kafka.coordinator.share.ShareCoordinatorService",True,True
share-coordinator/src/test/java/org/apache/kafka/coordinator/share/ShareCoordinatorShardTest.java,Add Attribute Modifier,2,1,1,42f74a1c3afd693a16c3980ee022e82872e4bfa2,8,8,Add Attribute Modifier final in attribute private coordinatorMetrics : CoordinatorMetrics from class org.apache.kafka.coordinator.share.ShareCoordinatorShardTest.ShareCoordinatorShardBuilder,True,True
share-coordinator/src/test/java/org/apache/kafka/coordinator/share/ShareCoordinatorShardTest.java,Add Attribute Modifier,2,1,1,42f74a1c3afd693a16c3980ee022e82872e4bfa2,9,9,Add Attribute Modifier final in attribute private metricsShard : CoordinatorMetricsShard from class org.apache.kafka.coordinator.share.ShareCoordinatorShardTest.ShareCoordinatorShardBuilder,True,True
share-coordinator/src/main/java/org/apache/kafka/coordinator/share/ShareCoordinatorShard.java,Remove Parameter,79,10,1,42f74a1c3afd693a16c3980ee022e82872e4bfa2,10,10,"Remove Parameter offset : Long in method private maybeGetReadStateError(request ReadShareGroupStateRequestData, offset Long) : Optional<ReadShareGroupStateResponseData> from class org.apache.kafka.coordinator.share.ShareCoordinatorShard",True,True
core/src/main/java/kafka/log/remote/CustomMetadataSizeLimitExceededException.java,Move Class,4,1,1,4630628701a5f2b153aa9d87bbbae26a18743200,11,11,Move Class kafka.log.remote.CustomMetadataSizeLimitExceededException moved to org.apache.kafka.server.log.remote.storage.CustomMetadataSizeLimitExceededException,True,True
core/src/main/java/kafka/log/remote/CustomMetadataSizeLimitExceededException.java,Change Class Access Modifier,4,1,1,4630628701a5f2b153aa9d87bbbae26a18743200,12,12,Change Class Access Modifier package to public in class org.apache.kafka.server.log.remote.storage.CustomMetadataSizeLimitExceededException,True,True
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/isolation/DelegatingClassLoader.java,Extract Method,84,10,5,af0054b50204c17be0cc84b8a3ef4575324bcb79,13,13,"Extract Method package pluginClassLoader(name String, range VersionRange) : PluginClassLoader extracted from package pluginClassLoader(name String) : PluginClassLoader in class org.apache.kafka.connect.runtime.isolation.DelegatingClassLoader",True,True
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/isolation/DelegatingClassLoader.java,Extract Method,60,10,5,af0054b50204c17be0cc84b8a3ef4575324bcb79,14,14,"Extract Method package loader(classOrAlias String, range VersionRange) : ClassLoader extracted from package connectorLoader(connectorClassOrAlias String) : ClassLoader in class org.apache.kafka.connect.runtime.isolation.DelegatingClassLoader",True,True
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/isolation/DelegatingClassLoader.java,Extract Method,43,10,5,af0054b50204c17be0cc84b8a3ef4575324bcb79,15,15,Extract Method package loader(classOrAlias String) : ClassLoader extracted from package connectorLoader(connectorClassOrAlias String) : ClassLoader in class org.apache.kafka.connect.runtime.isolation.DelegatingClassLoader,True,True
