file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha,commit_idx,refactoring_idx,description,has_left_locations,has_right_locations
streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamImplTest.java,Rename Method,177,10,1,ab2facca58acffdffc363df28b75844daf5b3466,139,139,Rename Method public shouldBindStateWithOldProcessorSupplier() : void renamed to public shouldBindStateWithProcessorSupplier() : void in class org.apache.kafka.streams.kstream.internals.KStreamImplTest,True,True
connect/runtime/src/test/java/org/apache/kafka/connect/runtime/WorkerTest.java,Remove Thrown Exception Type,79,10,1,45835a0e459b3d1a7203d73c94e7b393bdc89dca,79,79,Remove Thrown Exception Type Exception in method public testAlterOffsetsSourceConnectorError(enableTopicCreation boolean) : void from class org.apache.kafka.connect.runtime.WorkerTest,True,True
streams/src/main/java/org/apache/kafka/streams/kstream/Consumed.java,Replace Generic With Diamond,24,8,2,d83f09d014ff574784212cfdc317b5004c90c687,116,116,"Replace Generic With Diamond Consumed<K,V> with Consumed<> in method public withTimestampExtractor(timestampExtractor TimestampExtractor) : Consumed<K,V> from class org.apache.kafka.streams.kstream.Consumed",True,True
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/isolation/DelegatingClassLoader.java,Extract Variable,5,1,2,af0054b50204c17be0cc84b8a3ef4575324bcb79,18,18,"Extract Variable plugin : Class<?> in method protected loadVersionedPluginClass(name String, range VersionRange, resolve boolean) : Class<?> from class org.apache.kafka.connect.runtime.isolation.DelegatingClassLoader",True,True
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/AbstractHerder.java,Rename Variable,20,6,2,f4fe6064cc2f52555dc5a39ded342ef439eb599a,223,223,"Rename Variable valueConverterConfigInfos : ConfigInfos to converterConfigInfo : ConfigInfos in method package validateConnectorConfig(connectorProps Map<String,String>, reportStage Function<String,TemporaryStage>, doLog boolean) : ConfigInfos from class org.apache.kafka.connect.runtime.AbstractHerder",True,True
raft/src/main/java/org/apache/kafka/raft/KafkaRaftClient.java,Extract Method,142,10,5,e979fce94eb401c0c6e36e9a7cbf917cc33b1c49,104,104,"Extract Method private maybeSendFetchToBestNode(state FollowerState, currentTimeMs long) : long extracted from private pollFollowerAsObserver(state FollowerState, currentTimeMs long) : long in class org.apache.kafka.raft.KafkaRaftClient",True,True
streams/src/main/java/org/apache/kafka/streams/kstream/internals/KStreamKStreamJoinLeftSide.java,Remove Parameter,19,6,1,ef2e4600f37316fee5f688972339e7ae6b8b6cd9,271,271,"Remove Parameter outerJoinWindowName : Optional<String> in method package KStreamKStreamJoinLeftSide(otherWindowName String, windows JoinWindowsInternal, joiner ValueJoinerWithKey<? super K,? super VLeft,? super VRight,? extends VOut>, outer boolean, outerJoinWindowName Optional<String>, sharedTimeTrackerSupplier TimeTrackerSupplier) from class org.apache.kafka.streams.kstream.internals.KStreamKStreamJoinLeftSide",True,True
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/isolation/Plugins.java,Change Variable Type,26,8,5,af0054b50204c17be0cc84b8a3ef4575324bcb79,31,31,"Change Variable Type klass : Class<? extends HeaderConverter> to klass : Class<? extends U> in method private newVersionedPlugin(config AbstractConfig, classPropertyName String, versionPropertyName String, basePluginClass Class, classLoaderUsage ClassLoaderUsage, availablePlugins SortedSet<PluginDesc<U>>) : U from class org.apache.kafka.connect.runtime.isolation.Plugins",True,True
metadata/src/main/java/org/apache/kafka/controller/ActivationRecordsGenerator.java,Remove Parameter,51,10,1,772aa241b2f1c3e8c8b7ad73ddc910c8272f2d1d,254,254,"Remove Parameter zkMigrationState : ZkMigrationState in method package generate(activationMessageConsumer Consumer<String>, isEmpty boolean, transactionStartOffset long, bootstrapMetadata BootstrapMetadata, zkMigrationState ZkMigrationState, curMetadataVersion MetadataVersion) : ControllerResult<Void> from class org.apache.kafka.controller.ActivationRecordsGenerator",True,True
streams/src/test/java/org/apache/kafka/streams/state/internals/TimeOrderedKeyValueBufferTest.java,Change Variable Type,6,2,3,990c8c750c51c0947a2242313066a26d1262ac9d,148,148,"Change Variable Type context : MockInternalProcessorContext to context : MockInternalNewProcessorContext<?,?> in method public shouldRejectNullValues(testName String, bufferSupplier Function<String,B>) : void from class org.apache.kafka.streams.state.internals.TimeOrderedKeyValueBufferTest",True,True
streams/src/main/java/org/apache/kafka/streams/processor/internals/StreamThread.java,Rename Variable,47,10,4,6cdb8c352a8ae4e77e30f486390970aecb1d970a,180,180,"Rename Variable autoOffsetResetStrategy : AutoOffsetResetStrategy to resetPolicy : AutoOffsetResetStrategy in method private resetOffsets(partitions Set<TopicPartition>, cause Exception) : void from class org.apache.kafka.streams.processor.internals.StreamThread",True,True
