file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/AbstractHerder.java,Add Method Annotation,103,1,1
core/src/main/java/kafka/server/share/SharePartitionManager.java,Parameterize Variable,1,1,1
clients/src/main/java/org/apache/kafka/clients/producer/internals/TransactionManager.java,Add Parameter,9,1,1
core/src/main/java/kafka/log/remote/RemoteLogManager.java,Add Parameter,15,1,1
core/src/test/java/kafka/test/api/ShareConsumerTest.java,Parameterize Variable,1,1,1
streams/src/main/java/org/apache/kafka/streams/kstream/internals/graph/StreamStreamJoinNode.java,Add Parameter,31,1,1
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/SinkConnectorConfig.java,Inline Attribute,6,1,1
streams/src/main/java/org/apache/kafka/streams/processor/internals/StreamThread.java,Extract Variable,12,1,1
streams/src/test/java/org/apache/kafka/streams/state/internals/MeteredSessionStoreTest.java,Add Method Annotation,5,1,1
clients/src/main/java/org/apache/kafka/clients/admin/ConsumerGroupDescription.java,Add Parameter,17,1,1
raft/src/test/java/org/apache/kafka/raft/KafkaRaftClientSnapshotTest.java,Assert Throws,1,1,1
streams/src/main/java/org/apache/kafka/streams/processor/internals/InternalTopologyBuilder.java,Remove Method Annotation,1,1,1
raft/src/main/java/org/apache/kafka/raft/UnattachedState.java,Extract Method,33,1,1
core/src/test/java/kafka/test/api/ShareConsumerTest.java,Remove Method Annotation,1,1,1
streams/src/test/java/org/apache/kafka/test/NoOpReadOnlyStore.java,Rename Parameter,1,1,1
raft/src/test/java/org/apache/kafka/raft/KafkaRaftClientSnapshotTest.java,Assert Throws,1,1,1
clients/src/test/java/org/apache/kafka/common/utils/LogCaptureAppender.java,Change Parameter Type,1,1,1
streams/src/test/java/org/apache/kafka/streams/state/internals/MeteredSessionStoreTest.java,Add Method Annotation,5,1,1
raft/src/main/java/org/apache/kafka/raft/EpochState.java,Rename Parameter,1,1,1
streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamSessionWindowAggregateProcessorTest.java,Rename Attribute,1,1,1
tools/src/main/java/org/apache/kafka/tools/consumer/ApiMessageFormatter.java,Remove Parameter,1,1,1
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/isolation/DelegatingClassLoader.java,Extract Method,19,1,1
tools/src/main/java/org/apache/kafka/tools/consumer/group/ConsumerGroupCommand.java,Move Code,63,1,1
streams/src/test/java/org/apache/kafka/streams/state/internals/MeteredSessionStoreTest.java,Rename Variable,1,1,1
streams/src/test/java/org/apache/kafka/streams/state/internals/TimeOrderedKeyValueBufferTest.java,Change Variable Type,1,1,1
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Change Variable Type,1,1,1
tools/src/main/java/org/apache/kafka/tools/consumer/group/MemberAssignmentState.java,Add Parameter,10,1,1
raft/src/main/java/org/apache/kafka/raft/RaftUtil.java,Add Parameter,39,1,1
streams/src/test/java/org/apache/kafka/streams/state/internals/StoreSerdeInitializerTest.java,Change Variable Type,1,1,1
clients/src/test/java/org/apache/kafka/clients/consumer/internals/FetchMetricsManagerTest.java,Add Method Annotation,13,1,1
streams/src/main/java/org/apache/kafka/streams/processor/internals/TopologyMetadata.java,Change Return Type,1,1,1
core/src/main/java/kafka/log/remote/RemoteLogManager.java,Change Variable Type,1,1,1
connect/runtime/src/test/java/org/apache/kafka/connect/runtime/AbstractHerderTest.java,Add Method Annotation,5,1,1
streams/test-utils/src/test/java/org/apache/kafka/streams/MockProcessorContextTest.java,Change Variable Type,10,1,1
streams/src/test/java/org/apache/kafka/streams/state/internals/TimeOrderedKeyValueBufferTest.java,Change Variable Type,1,1,1
core/src/test/java/kafka/test/api/ShareConsumerTest.java,Remove Method Annotation,1,1,1
group-coordinator/src/main/java/org/apache/kafka/coordinator/group/GroupMetadataManager.java,Inline Variable,1,1,1
streams/src/test/java/org/apache/kafka/streams/state/internals/CompositeReadOnlyKeyValueStoreTest.java,Add Method Annotation,4,1,1
metadata/src/main/java/org/apache/kafka/image/FeaturesImage.java,Remove Parameter,1,1,1
streams/src/test/java/org/apache/kafka/streams/processor/internals/ProcessorContextImplTest.java,Remove Variable Annotation,1,1,1
streams/src/test/java/org/apache/kafka/streams/state/internals/TimeOrderedKeyValueBufferTest.java,Change Variable Type,1,1,1
streams/src/main/java/org/apache/kafka/streams/state/internals/KeyValueSegments.java,Change Parameter Type,1,1,1
streams/test-utils/src/test/java/org/apache/kafka/streams/MockProcessorContextTest.java,Change Variable Type,15,1,1
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Extract Variable,1,1,1
streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamImplTest.java,Remove Method Annotation,1,1,1
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/rest/RestClient.java,Split Conditional,1,1,1
core/src/test/java/kafka/test/api/ShareConsumerTest.java,Add Thrown Exception Type,47,1,1
streams/src/main/java/org/apache/kafka/streams/kstream/internals/suppress/TimeDefinitions.java,Change Class Access Modifier,20,1,1
streams/src/test/java/org/apache/kafka/streams/state/internals/TimeOrderedKeyValueBufferTest.java,Change Variable Type,1,1,1
connect/runtime/src/test/java/org/apache/kafka/connect/runtime/LoggersTest.java,Move Method,18,1,1
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/isolation/PluginUtils.java,Extract Variable,1,1,1
connect/runtime/src/test/java/org/apache/kafka/connect/runtime/LoggersTest.java,Rename Method,8,1,1
connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Loggers.java,Change Variable Type,1,1,1
streams/src/test/java/org/apache/kafka/streams/kstream/internals/suppress/KTableSuppressProcessorTest.java,Change Variable Type,1,1,1
streams/test-utils/src/test/java/org/apache/kafka/streams/MockProcessorContextTest.java,Inline Variable,18,1,1
tools/src/main/java/org/apache/kafka/tools/consumer/group/ConsumerGroupCommand.java,Change Parameter Type,1,1,1
streams/src/test/java/org/apache/kafka/streams/processor/internals/ProcessorTopologyTest.java,Move And Inline Method,4,1,1
streams/test-utils/src/test/java/org/apache/kafka/streams/MockProcessorContextTest.java,Change Variable Type,1,1,1
raft/src/main/java/org/apache/kafka/raft/FollowerState.java,Replace Variable With Attribute,1,1,1
group-coordinator/group-coordinator-api/src/main/java/org/apache/kafka/coordinator/group/api/assignor/MemberSubscription.java,Remove Class Annotation,1,1,1
streams/src/test/java/org/apache/kafka/streams/state/internals/TimeOrderedKeyValueBufferTest.java,Change Variable Type,1,1,1
clients/src/main/java/org/apache/kafka/clients/consumer/internals/events/BackgroundEventHandler.java,Add Parameter,3,1,1
clients/src/main/java/org/apache/kafka/clients/consumer/internals/FetchMetricsManager.java,Extract Method,8,1,1
tools/src/main/java/org/apache/kafka/tools/consumer/group/ConsumerGroupCommand.java,Rename Parameter,1,1,1
streams/src/test/java/org/apache/kafka/streams/state/internals/CachingInMemoryKeyValueStoreTest.java,Change Attribute Type,1,1,1
generator/src/main/java/org/apache/kafka/message/MessageSpec.java,Add Method Annotation,41,1,1
streams/src/main/java/org/apache/kafka/streams/kstream/internals/graph/TableSuppressNode.java,Change Parameter Type,1,1,1
raft/src/main/java/org/apache/kafka/raft/UnattachedState.java,Rename Parameter,1,1,1
streams/src/test/java/org/apache/kafka/streams/kstream/internals/foreignkeyjoin/ResponseJoinProcessorSupplierTest.java,Change Variable Type,1,1,1
streams/src/main/java/org/apache/kafka/streams/kstream/Consumed.java,Replace Generic With Diamond,1,1,1
core/src/test/java/kafka/test/api/ShareConsumerTest.java,Change Variable Type,1,1,1
clients/src/test/java/org/apache/kafka/clients/consumer/internals/FetchMetricsManagerTest.java,Add Method Annotation,18,1,1
streams/src/test/java/org/apache/kafka/streams/kstream/internals/foreignkeyjoin/SubscriptionSendProcessorSupplierTest.java,Change Variable Type,1,1,1
streams/src/test/java/org/apache/kafka/streams/state/internals/ChangeLoggingWindowBytesStoreTest.java,Add Method Annotation,6,1,1
