file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha,commit_idx,refactoring_idx,description,has_left_locations,has_right_locations
mockito-core/src/test/java/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValuesTest.java,Rename Method,19,6,1,bc06f214c0c9505a1887e4422a449c6304993ff5,0,0,Rename Method public should_return_empty_sequenced_collection_on_java21() : void renamed to public should_return_empty_sequenced_collection() : void in class org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValuesTest,True,True
mockito-core/src/test/java/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValuesTest.java,Rename Method,19,6,1,bc06f214c0c9505a1887e4422a449c6304993ff5,1,1,Rename Method public should_return_empty_sequenced_set_on_java21() : void renamed to public should_return_empty_sequenced_set() : void in class org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValuesTest,True,True
mockito-core/src/test/java/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValuesTest.java,Rename Method,19,6,1,bc06f214c0c9505a1887e4422a449c6304993ff5,2,2,Rename Method public should_return_empty_sequenced_map_on_java21() : void renamed to public should_return_empty_sequenced_map() : void in class org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValuesTest,True,True
mockito-core/src/test/java/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValuesTest.java,Remove Variable Modifier,33,10,2,bc06f214c0c9505a1887e4422a449c6304993ff5,3,3,Remove Variable Modifier final in variable durationClass : Class<?> in method public should_return_empty_duration() : void from class org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValuesTest,True,True
mockito-core/src/test/java/org/mockito/internal/util/collections/HashCodeAndEqualsSafeSetTest.java,Add Method Annotation,12,4,1,8b580e2e2db708db8d5b5b884c9eb18ec964651c,4,4,"Add Method Annotation @SuppressWarnings(""SelfAssertion"") in method public isEqualToItself() : void from class org.mockito.internal.util.collections.HashCodeAndEqualsSafeSetTest",True,True
mockito-core/src/test/java/org/mockitousage/basicapi/ReplacingObjectMethodsTest.java,Add Method Annotation,24,8,1,8b580e2e2db708db8d5b5b884c9eb18ec964651c,5,5,"Add Method Annotation @SuppressWarnings(""SelfAssertion"") in method public shouldReplaceObjectMethods() : void from class org.mockitousage.basicapi.ReplacingObjectMethodsTest",True,True
mockito-core/src/test/java/org/mockitousage/basicapi/ReplacingObjectMethodsTest.java,Add Method Annotation,24,8,1,8b580e2e2db708db8d5b5b884c9eb18ec964651c,6,6,"Add Method Annotation @SuppressWarnings(""SelfAssertion"") in method public shouldReplaceObjectMethodsWhenOverridden() : void from class org.mockitousage.basicapi.ReplacingObjectMethodsTest",True,True
mockito-core/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java,Change Variable Type,16,5,2,8f15169774cb639b5757f121f27d6c0d8ca18c97,7,7,Change Variable Type matcherType : Class<?> to isJavaVarargs : boolean in method public forEachMatcherAndArgument(action ArgumentMatcherAction) : boolean from class org.mockito.internal.invocation.MatcherApplicationStrategy,True,True
mockito-core/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java,Rename Variable,16,5,2,8f15169774cb639b5757f121f27d6c0d8ca18c97,8,8,Rename Variable matcherType : Class<?> to isJavaVarargs : boolean in method public forEachMatcherAndArgument(action ArgumentMatcherAction) : boolean from class org.mockito.internal.invocation.MatcherApplicationStrategy,True,True
mockito-core/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java,Rename Variable,8,2,2,8f15169774cb639b5757f121f27d6c0d8ca18c97,9,9,Rename Variable maybeVararg : boolean to isVararg : boolean in method public forEachMatcherAndArgument(action ArgumentMatcherAction) : boolean from class org.mockito.internal.invocation.MatcherApplicationStrategy,True,True
mockito-core/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java,Change Return Type,10,3,2,8f15169774cb639b5757f121f27d6c0d8ca18c97,10,10,Change Return Type Class<?> to Optional<Class<?>> in method private lastMatcherType() : Optional<Class<?>> from class org.mockito.internal.invocation.MatcherApplicationStrategy,True,True
mockito-core/src/test/java/org/mockito/MockitoTest.java,Rename Method,31,10,1,7764992d1250f4e7f6ffd10f650dc89516139c8d,11,11,Rename Method public shouldGiveExplanationOnStaticMockingWithoutInlineMockMaker() : void renamed to public shouldGiveExplanationOnStaticMockingMockMaker() : void in class org.mockito.MockitoTest,True,True
mockito-core/src/test/java/org/mockito/MockitoTest.java,Rename Method,31,10,1,7764992d1250f4e7f6ffd10f650dc89516139c8d,12,12,Rename Method public shouldGiveExplanationOnConstructionMockingWithoutInlineMockMaker() : void renamed to public shouldGiveExplanationOnConstructionMockingMockMaker() : void in class org.mockito.MockitoTest,True,True
mockito-extensions/mockito-junit-jupiter/src/main/java/org/mockito/junit/jupiter/MockitoExtension.java,Extract Variable,4,1,1,4f469c830b2f6ab0e1f061e9383aff2e6f9f8376,13,13,Extract Variable store : ExtensionContext.Store in method public afterEach(context ExtensionContext) : void from class org.mockito.junit.jupiter.MockitoExtension,True,True
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockAccess.java,Move Class,12,4,1,d000e630775cfa45752eeb491a197283e7370621,14,14,Move Class org.mockito.internal.creation.bytebuddy.MockAccess moved to org.mockito.internal.creation.bytebuddy.access.MockAccess,True,True
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,Move Class,271,10,1,d000e630775cfa45752eeb491a197283e7370621,15,15,Move Class org.mockito.internal.creation.bytebuddy.MockMethodInterceptor moved to org.mockito.internal.creation.bytebuddy.access.MockMethodInterceptor,True,True
mockito-core/src/main/java/org/mockito/codegen/InjectionBase.java,Move Class,20,6,1,d000e630775cfa45752eeb491a197283e7370621,16,16,Move Class org.mockito.codegen.InjectionBase moved to org.mockito.internal.creation.bytebuddy.codegen.InjectionBase,True,True
