file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Remove Parameter,1,1,1,dummy_commit_271
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Change Return Type,1,1,1,dummy_commit_46
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,Change Attribute Type,1,1,1,dummy_commit_167
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Change Method Access Modifier,17,1,1,dummy_commit_42
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/SubclassBytecodeGenerator.java,Change Parameter Type,1,1,1,dummy_commit_349
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Change Parameter Type,1,1,1,dummy_commit_181
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/SubclassByteBuddyMockMaker.java,Change Parameter Type,1,1,1,dummy_commit_153
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Change Return Type,1,1,1,dummy_commit_33
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/InlineDelegateByteBuddyMockMaker.java,Change Attribute Type,1,1,1,dummy_commit_116
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Add Method Annotation,12,1,1,dummy_commit_148
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Move And Inline Method,4,1,1,dummy_commit_376
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Change Return Type,1,1,1,dummy_commit_284
mockito-core/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java,Change Variable Type,1,1,1,dummy_commit_104
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/SubclassByteBuddyMockMaker.java,Rename Parameter,1,1,1,dummy_commit_57
mockito-core/src/test/java/org/mockito/internal/util/collections/HashCodeAndEqualsSafeSetTest.java,Add Method Annotation,5,1,1,dummy_commit_198
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ByteBuddyCrossClassLoaderSerializationSupport.java,Change Class Access Modifier,381,1,1,dummy_commit_114
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,Move Class,135,1,1,dummy_commit_15
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Change Class Access Modifier,32,1,1,dummy_commit_218
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Change Parameter Type,1,1,1,dummy_commit_84
mockito-core/src/test/java/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValuesTest.java,Rename Method,8,1,1,dummy_commit_0
mockito-core/src/test/java/org/mockito/internal/creation/bytebuddy/InlineDelegateByteBuddyMockMakerTest.java,Remove Thrown Exception Type,1,1,1,dummy_commit_384
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Rename Attribute,1,1,1,dummy_commit_152
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,Change Method Access Modifier,35,1,1,dummy_commit_73
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,Change Parameter Type,1,1,1,dummy_commit_168
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,Change Attribute Access Modifier,1,1,1,dummy_commit_360
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Remove Parameter,1,1,1,dummy_commit_77
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Rename Method,4,1,1,dummy_commit_318
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Add Method Annotation,12,1,1,dummy_commit_342
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Rename Parameter,1,1,1,dummy_commit_76
mockito-core/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java,Rename Variable,1,1,1,dummy_commit_299
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Change Parameter Type,1,1,1,dummy_commit_237
mockito-core/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java,Rename Variable,3,1,1,dummy_commit_9
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Remove Method Annotation,1,1,1,dummy_commit_335
mockito-core/src/test/java/org/mockitousage/basicapi/ReplacingObjectMethodsTest.java,Add Method Annotation,11,1,1,dummy_commit_296
