refactoring_type,class_name,method_name,lines_changed,cyclomatic_complexity,nesting_depth,file_path,commit_sha,class_encoded,method_encoded
Rename Method,ReturnsEmptyValuesTest,,8,1,1,mockito-core/src/test/java/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValuesTest.java,bc06f214c0c9505a1887e4422a449c6304993ff5,16,0
Rename Method,ReturnsEmptyValuesTest,,8,3,1,mockito-core/src/test/java/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValuesTest.java,bc06f214c0c9505a1887e4422a449c6304993ff5,16,0
Rename Method,ReturnsEmptyValuesTest,,8,3,1,mockito-core/src/test/java/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValuesTest.java,bc06f214c0c9505a1887e4422a449c6304993ff5,16,0
Remove Variable Modifier,ReturnsEmptyValuesTest,public,1,1,1,mockito-core/src/test/java/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValuesTest.java,bc06f214c0c9505a1887e4422a449c6304993ff5,16,4
Add Method Annotation,HashCodeAndEqualsSafeSetTest,public,5,1,1,mockito-core/src/test/java/org/mockito/internal/util/collections/HashCodeAndEqualsSafeSetTest.java,8b580e2e2db708db8d5b5b884c9eb18ec964651c,3,4
Add Method Annotation,ReplacingObjectMethodsTest,public,11,2,1,mockito-core/src/test/java/org/mockitousage/basicapi/ReplacingObjectMethodsTest.java,8b580e2e2db708db8d5b5b884c9eb18ec964651c,15,4
Add Method Annotation,ReplacingObjectMethodsTest,public,11,1,1,mockito-core/src/test/java/org/mockitousage/basicapi/ReplacingObjectMethodsTest.java,8b580e2e2db708db8d5b5b884c9eb18ec964651c,15,4
Change Variable Type,MatcherApplicationStrategy,public,1,1,1,mockito-core/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java,8f15169774cb639b5757f121f27d6c0d8ca18c97,8,4
Rename Variable,MatcherApplicationStrategy,public,1,1,1,mockito-core/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java,8f15169774cb639b5757f121f27d6c0d8ca18c97,8,4
Rename Variable,MatcherApplicationStrategy,public,3,1,1,mockito-core/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java,8f15169774cb639b5757f121f27d6c0d8ca18c97,8,4
Change Return Type,MatcherApplicationStrategy,private,1,1,1,mockito-core/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java,8f15169774cb639b5757f121f27d6c0d8ca18c97,8,3
Rename Method,MockitoTest,,16,1,2,mockito-core/src/test/java/org/mockito/MockitoTest.java,7764992d1250f4e7f6ffd10f650dc89516139c8d,12,0
Rename Method,MockitoTest,,16,1,2,mockito-core/src/test/java/org/mockito/MockitoTest.java,7764992d1250f4e7f6ffd10f650dc89516139c8d,12,0
Extract Variable,MockitoExtension,public,3,1,1,mockito-extensions/mockito-junit-jupiter/src/main/java/org/mockito/junit/jupiter/MockitoExtension.java,4f469c830b2f6ab0e1f061e9383aff2e6f9f8376,11,4
Move Class,MockAccess,,6,2,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockAccess.java,d000e630775cfa45752eeb491a197283e7370621,9,0
Move Class,MockMethodInterceptor,,135,2,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,d000e630775cfa45752eeb491a197283e7370621,10,0
Move Class,InjectionBase,,10,2,1,mockito-core/src/main/java/org/mockito/codegen/InjectionBase.java,d000e630775cfa45752eeb491a197283e7370621,4,0
