refactoring_type,file_path,method_name,class_name,lines_changed,commit_sha
Rename Method,core/spring-boot/src/main/java/org/springframework/boot/logging/log4j2/Log4J2LoggingSystem.java,,Log4J2LoggingSystem,16,ff11e21d73da7b5b1f0306106b94584d73e401bd
Extract Method,core/spring-boot/src/main/java/org/springframework/boot/logging/log4j2/Log4J2LoggingSystem.java,,Log4J2LoggingSystem,79,ff11e21d73da7b5b1f0306106b94584d73e401bd
Extract Method,core/spring-boot/src/main/java/org/springframework/boot/logging/log4j2/Log4J2LoggingSystem.java,,Log4J2LoggingSystem,62,ff11e21d73da7b5b1f0306106b94584d73e401bd
Change Return Type,core/spring-boot/src/test/java/org/springframework/boot/logging/log4j2/Log4J2LoggingSystemTests.java,package,Log4J2LoggingSystemTests,16,16439ad6e364267033b8b157f3608b46c654dffa
Remove Method Annotation,core/spring-boot/src/test/java/org/springframework/boot/logging/log4j2/Log4J2LoggingSystemTests.java,package,Log4J2LoggingSystemTests,15,16439ad6e364267033b8b157f3608b46c654dffa
Add Method Modifier,core/spring-boot/src/test/java/org/springframework/boot/logging/log4j2/Log4J2LoggingSystemTests.java,package,Log4J2LoggingSystemTests,14,16439ad6e364267033b8b157f3608b46c654dffa
Extract Method,core/spring-boot/src/main/java/org/springframework/boot/logging/log4j2/Log4J2LoggingSystem.java,,Log4J2LoggingSystem,115,16439ad6e364267033b8b157f3608b46c654dffa
Rename Variable,core/spring-boot/src/main/java/org/springframework/boot/logging/log4j2/Log4J2LoggingSystem.java,private,Log4J2LoggingSystem,10,16439ad6e364267033b8b157f3608b46c654dffa
Add Parameter,core/spring-boot/src/main/java/org/springframework/boot/logging/log4j2/Log4J2LoggingSystem.java,protected,Log4J2LoggingSystem,7,16439ad6e364267033b8b157f3608b46c654dffa
Add Parameter,core/spring-boot/src/test/java/org/springframework/boot/logging/log4j2/TestLog4J2LoggingSystem.java,protected,TestLog4J2LoggingSystem,9,16439ad6e364267033b8b157f3608b46c654dffa
Rename Method,spring-boot-project/spring-boot-docker-compose/src/test/java/org/springframework/boot/docker/compose/service/connection/ConnectionNamePredicateTests.java,,ConnectionNamePredicateTests,28,f547bc27a579ef912f5fbc390509e092898af869
Rename Parameter,spring-boot-project/spring-boot-docker-compose/src/test/java/org/springframework/boot/docker/compose/service/connection/ConnectionNamePredicateTests.java,private,ConnectionNamePredicateTests,4,f547bc27a579ef912f5fbc390509e092898af869
Rename Parameter,spring-boot-project/spring-boot-docker-compose/src/test/java/org/springframework/boot/docker/compose/service/connection/ConnectionNamePredicateTests.java,private,ConnectionNamePredicateTests,4,f547bc27a579ef912f5fbc390509e092898af869
Add Method Annotation,spring-boot-project/spring-boot-docker-compose/src/dockerTest/java/org/springframework/boot/docker/compose/service/connection/cassandra/CassandraDockerComposeConnectionDetailsFactoryIntegrationTests.java,package,CassandraDockerComposeConnectionDetailsFactoryIntegrationTests,10,24a23c4f72ed7d1b863cee3f3b9d9336c00c4957
Add Method Annotation,spring-boot-project/spring-boot-docker-compose/src/dockerTest/java/org/springframework/boot/docker/compose/service/connection/clickhouse/ClickHouseJdbcDockerComposeConnectionDetailsFactoryIntegrationTests.java,package,ClickHouseJdbcDockerComposeConnectionDetailsFactoryIntegrationTests,14,24a23c4f72ed7d1b863cee3f3b9d9336c00c4957
Add Method Annotation,spring-boot-project/spring-boot-docker-compose/src/dockerTest/java/org/springframework/boot/docker/compose/service/connection/clickhouse/ClickHouseR2dbcDockerComposeConnectionDetailsFactoryIntegrationTests.java,package,ClickHouseR2dbcDockerComposeConnectionDetailsFactoryIntegrationTests,14,24a23c4f72ed7d1b863cee3f3b9d9336c00c4957
Add Method Annotation,spring-boot-project/spring-boot-docker-compose/src/dockerTest/java/org/springframework/boot/docker/compose/service/connection/elasticsearch/ElasticsearchDockerComposeConnectionDetailsFactoryIntegrationTests.java,package,ElasticsearchDockerComposeConnectionDetailsFactoryIntegrationTests,10,24a23c4f72ed7d1b863cee3f3b9d9336c00c4957
Add Method Annotation,spring-boot-project/spring-boot-docker-compose/src/dockerTest/java/org/springframework/boot/docker/compose/service/connection/mariadb/MariaDbJdbcDockerComposeConnectionDetailsFactoryIntegrationTests.java,package,MariaDbJdbcDockerComposeConnectionDetailsFactoryIntegrationTests,10,24a23c4f72ed7d1b863cee3f3b9d9336c00c4957
Add Method Annotation,spring-boot-project/spring-boot-docker-compose/src/dockerTest/java/org/springframework/boot/docker/compose/service/connection/mariadb/MariaDbR2dbcDockerComposeConnectionDetailsFactoryIntegrationTests.java,package,MariaDbR2dbcDockerComposeConnectionDetailsFactoryIntegrationTests,10,24a23c4f72ed7d1b863cee3f3b9d9336c00c4957
Add Method Annotation,spring-boot-project/spring-boot-docker-compose/src/dockerTest/java/org/springframework/boot/docker/compose/service/connection/mongo/MongoDockerComposeConnectionDetailsFactoryIntegrationTests.java,package,MongoDockerComposeConnectionDetailsFactoryIntegrationTests,12,24a23c4f72ed7d1b863cee3f3b9d9336c00c4957
Add Method Annotation,spring-boot-project/spring-boot-docker-compose/src/dockerTest/java/org/springframework/boot/docker/compose/service/connection/mysql/MySqlJdbcDockerComposeConnectionDetailsFactoryIntegrationTests.java,package,MySqlJdbcDockerComposeConnectionDetailsFactoryIntegrationTests,10,24a23c4f72ed7d1b863cee3f3b9d9336c00c4957
Add Method Annotation,spring-boot-project/spring-boot-docker-compose/src/dockerTest/java/org/springframework/boot/docker/compose/service/connection/mysql/MySqlR2dbcDockerComposeConnectionDetailsFactoryIntegrationTests.java,package,MySqlR2dbcDockerComposeConnectionDetailsFactoryIntegrationTests,10,24a23c4f72ed7d1b863cee3f3b9d9336c00c4957
