file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha,commit_idx,refactoring_idx,description,has_left_locations,has_right_locations
spring-context/src/test/java/org/springframework/format/datetime/standard/DurationFormatterUtilsTests.java,Modify Method Annotation,16,5,2,d421f61a4ac2a323fbaa3e5b9b619a99069e09c0,0,0,Modify Method Annotation @EnumSource(DurationFormat.Style.class) to @EnumSource in method package parseEmptyStringFailsWithDedicatedException(style DurationFormat.Style) : void from class org.springframework.format.datetime.standard.DurationFormatterUtilsTests,True,True
spring-context/src/test/java/org/springframework/format/datetime/standard/DurationFormatterUtilsTests.java,Modify Method Annotation,16,5,2,d421f61a4ac2a323fbaa3e5b9b619a99069e09c0,1,1,Modify Method Annotation @EnumSource(DurationFormat.Style.class) to @EnumSource in method package parseNullStringFailsWithDedicatedException(style DurationFormat.Style) : void from class org.springframework.format.datetime.standard.DurationFormatterUtilsTests,True,True
spring-jdbc/src/test/java/org/springframework/jdbc/support/incrementer/H2SequenceMaxValueIncrementerTests.java,Modify Method Annotation,32,10,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,2,2,Modify Method Annotation @EnumSource(ModeEnum.class) to @EnumSource in method package incrementsSequenceWithExplicitH2CompatibilityMode(mode ModeEnum) : void from class org.springframework.jdbc.support.incrementer.H2SequenceMaxValueIncrementerTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,44,10,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,3,3,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package examplesInReferenceManual(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,22,7,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,4,4,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package fromUriEncodedQuery(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,114,10,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,5,5,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package fromUriString(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,20,6,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,6,6,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package fromUriStringQueryParamWithReservedCharInValue(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,18,6,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,7,7,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package fromUriStringQueryParamEncodedAndContainingPlus(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,16,5,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,8,8,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package fromUriStringIPv6Host(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,14,4,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,9,9,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package fromUriStringInvalidIPv6Host(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,20,6,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,10,10,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package fromUriStringNoPathWithReservedCharInQuery(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,18,6,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,11,11,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package fromHttpUrlQueryParamEncodedAndContainingPlus(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,18,6,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,12,12,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package fromHttpUrlCaseInsensitiveScheme(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,14,4,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,13,13,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package fromHttpUrlInvalidIPv6Host(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,80,10,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,14,14,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package fromHttpUrlWithoutFragment(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,80,10,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,15,15,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package fromHttpUrlWithFragment(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,32,10,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,16,16,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package replacePath(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,32,10,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,17,17,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package replaceQuery(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,24,8,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,18,18,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package parseBuildAndExpandHierarchical(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
spring-web/src/test/java/org/springframework/web/util/UriComponentsBuilderTests.java,Modify Method Annotation,28,9,2,f5c3f3522e1a790999f0d9078e7ff288644f324b,19,19,Modify Method Annotation @EnumSource(value = ParserType.class) to @EnumSource in method package buildAndExpandOpaque(parserType ParserType) : void from class org.springframework.web.util.UriComponentsBuilderTests,True,True
