file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth
spring-messaging/src/main/java/org/springframework/messaging/handler/invocation/AbstractMethodMessageHandler.java,Extract Variable,1,1,1
spring-messaging/src/main/java/org/springframework/messaging/handler/invocation/AbstractMethodMessageHandler.java,Remove Method Annotation,1,1,1
spring-messaging/src/main/java/org/springframework/messaging/handler/invocation/reactive/AbstractMethodMessageHandler.java,Extract Variable,1,1,1
spring-messaging/src/main/java/org/springframework/messaging/handler/invocation/reactive/AbstractMethodMessageHandler.java,Remove Method Annotation,1,1,1
spring-messaging/src/test/java/org/springframework/messaging/handler/invocation/MethodMessageHandlerTests.java,Add Method Annotation,6,1,1
spring-orm/src/main/java/org/springframework/orm/hibernate5/HibernateQueryException.java,Extract Variable,1,1,1
spring-orm/src/main/java/org/springframework/orm/hibernate5/HibernateQueryException.java,Remove Method Annotation,1,1,1
spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/PersistenceManagedTypesBeanRegistrationAotProcessor.java,Rename Variable,1,1,1
spring-r2dbc/src/main/java/org/springframework/r2dbc/connection/lookup/AbstractRoutingConnectionFactory.java,Remove Method Annotation,1,1,1
spring-test/src/main/java/org/springframework/test/http/MediaTypeAssert.java,Remove Method Annotation,1,1,1
spring-test/src/main/java/org/springframework/test/web/UriAssert.java,Extract Variable,2,1,1
spring-test/src/main/java/org/springframework/test/web/UriAssert.java,Remove Method Annotation,1,1,1
spring-test/src/main/java/org/springframework/test/web/UriAssert.java,Remove Parameter,1,1,1
spring-test/src/main/java/org/springframework/test/web/servlet/DefaultMvcResult.java,Add Method Annotation,4,1,1
spring-test/src/main/java/org/springframework/test/web/servlet/DefaultMvcResult.java,Add Method Annotation,15,1,1
spring-test/src/main/java/org/springframework/test/web/servlet/DefaultMvcResult.java,Remove Method Annotation,1,1,1
spring-test/src/main/java/org/springframework/test/web/servlet/MvcResult.java,Add Method Annotation,10,1,1
spring-test/src/main/java/org/springframework/test/web/servlet/MvcResult.java,Add Method Annotation,10,1,1
spring-test/src/main/java/org/springframework/test/web/servlet/client/MockMvcHttpConnector.java,Add Method Annotation,4,1,1
spring-test/src/main/java/org/springframework/test/web/servlet/client/MockMvcHttpConnector.java,Add Method Annotation,4,1,1
spring-test/src/test/java/org/springframework/test/web/servlet/StubMvcResult.java,Add Method Annotation,4,1,1
spring-test/src/test/java/org/springframework/test/web/servlet/StubMvcResult.java,Add Method Annotation,4,1,1
spring-web/src/main/java/org/springframework/http/client/JdkClientHttpRequest.java,Remove Method Annotation,1,1,1
spring-web/src/main/java/org/springframework/http/client/JettyClientHttpRequest.java,Remove Method Annotation,1,1,1
spring-web/src/main/java/org/springframework/http/codec/multipart/MultipartParser.java,Remove Class Annotation,1,1,1
spring-web/src/main/java/org/springframework/http/codec/multipart/MultipartParser.java,Add Method Annotation,5,1,1
spring-web/src/main/java/org/springframework/http/codec/multipart/MultipartParser.java,Add Method Annotation,4,1,1
spring-web/src/main/java/org/springframework/web/multipart/support/AbstractMultipartHttpServletRequest.java,Add Attribute Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/multipart/support/AbstractMultipartHttpServletRequest.java,Remove Attribute Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/multipart/support/AbstractMultipartHttpServletRequest.java,Remove Method Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/multipart/support/DefaultMultipartHttpServletRequest.java,Add Attribute Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/multipart/support/DefaultMultipartHttpServletRequest.java,Remove Attribute Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/multipart/support/DefaultMultipartHttpServletRequest.java,Add Attribute Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/multipart/support/DefaultMultipartHttpServletRequest.java,Remove Attribute Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/multipart/support/DefaultMultipartHttpServletRequest.java,Remove Method Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/multipart/support/DefaultMultipartHttpServletRequest.java,Remove Method Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/multipart/support/StandardMultipartHttpServletRequest.java,Add Attribute Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/multipart/support/StandardMultipartHttpServletRequest.java,Remove Attribute Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/multipart/support/StandardMultipartHttpServletRequest.java,Remove Method Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/multipart/support/StandardMultipartHttpServletRequest.java,Remove Method Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/server/adapter/HttpWebHandlerAdapter.java,Add Attribute Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/server/adapter/HttpWebHandlerAdapter.java,Remove Attribute Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/server/adapter/HttpWebHandlerAdapter.java,Remove Method Annotation,1,1,1
spring-webflux/src/main/java/org/springframework/web/reactive/resource/ResourceWebHandler.java,Remove Method Annotation,1,1,1
spring-test/src/test/java/org/springframework/test/web/servlet/samples/spr/ServletRequestDataBinderIntegrationTests.java,Remove Method Annotation,1,1,1
spring-test/src/test/java/org/springframework/test/web/servlet/samples/spr/ServletRequestDataBinderIntegrationTests.java,Remove Method Annotation,1,1,1
spring-web/src/main/java/org/springframework/web/method/annotation/RequestHeaderMapMethodArgumentResolver.java,Change Method Access Modifier,11,1,1
spring-webmvc/src/test/java/org/springframework/web/servlet/mvc/method/annotation/MethodValidationTests.java,Add Method Annotation,8,1,1
spring-context/src/main/java/org/springframework/validation/DataBinder.java,Replace Pipeline With Loop,1,1,1
