refactoring_type,predicted,correct,file_path
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/set/PredicatedSetTest.java
Change Class Access Modifier,Rename Method,False,src/test/java/org/apache/commons/collections4/bloomfilter/BloomFilterExtractorFromBloomFilterArrayTest.java
Change Class Access Modifier,Change Class Access Modifier,True,src/test/java/org/apache/commons/collections4/EnumerationUtilsTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/properties/AbstractPropertiesFactoryTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/bag/AbstractBagTest.java
Remove Parameter Modifier,Remove Parameter Modifier,True,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/list/DefaultAbstractLinkedListJava21Test.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/iterators/BoundedIteratorTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/MapUtilsTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/CollectionUtilsTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/iterators/SkippingIteratorTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/map/AbstractMapTest.java
Change Return Type,Change Return Type,True,src/test/java/org/apache/commons/collections4/bag/AbstractBagTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/CollectionUtilsTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/map/Flat3MapTest.java
Change Attribute Access Modifier,Change Attribute Access Modifier,True,gson/src/test/java/com/google/gson/functional/JsonAdapterAnnotationOnFieldsTest.java
Change Method Access Modifier,Change Method Access Modifier,True,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java
Add Parameter Modifier,Add Parameter Modifier,True,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/bag/AbstractBagTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/CollectionUtilsTest.java
Remove Variable Annotation,Remove Variable Annotation,True,src/test/java/org/apache/commons/collections4/map/MultiValueMapTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/ListUtilsTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/CollectionUtilsTest.java
Rename Parameter,Rename Parameter,True,src/main/java/org/apache/commons/collections4/functors/FunctorUtils.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/ClosureUtilsTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/MapUtilsTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/iterators/CartesianProductIteratorTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java
Remove Attribute Annotation,Remove Attribute Annotation,True,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/map/ListOrderedMapTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/iterators/PermutationIteratorTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/queue/AbstractQueueTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/map/CompositeMapTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/iterators/CartesianProductIteratorTest.java
Change Class Access Modifier,Change Class Access Modifier,True,src/test/java/org/apache/commons/collections4/comparators/BooleanComparatorTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/properties/EmptyPropertiesTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/map/UnmodifiableMapTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/CollectionUtilsTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/sequence/SequencesComparatorTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/iterators/UnmodifiableMapIteratorTest.java
Change Class Access Modifier,Change Class Access Modifier,True,src/test/java/org/apache/commons/collections4/bloomfilter/IndexExtractorFromSimpleBloomFilterTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/list/AbstractListTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/bloomfilter/DefaultBloomFilterTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/map/MultiKeyMapTest.java
Remove Class Annotation,Add Parameter Modifier,False,src/main/java/org/apache/commons/collections4/Factory.java
Extract Method,Add Method Annotation,False,test-shrinker/src/test/java/com/google/gson/it/ShrinkingIT.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/bloomfilter/AbstractBitMapExtractorTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/multiset/PredicatedMultiSetTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/bidimap/AbstractSortedBidiMapTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/PredicateUtilsTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/list/TransformedListTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/map/TransformedMapTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/bloomfilter/SetOperationsTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/iterators/LazyIteratorChainTest.java
Extract Method,Add Parameter Modifier,False,src/main/java/org/apache/commons/collections4/IteratorUtils.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/iterators/ExtendedIteratorTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/queue/AbstractQueueTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/comparators/ComparatorChainTest.java
Remove Variable Modifier,Remove Variable Modifier,True,gson/src/test/java/com/google/gson/GsonTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/bloomfilter/DefaultIndexExtractorTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/map/PassiveExpiringMapTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/list/CursorableLinkedListTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/bag/UnmodifiableBagTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/multiset/AbstractMultiSetTest.java
Replace Anonymous With Lambda,Replace Anonymous With Lambda,True,gson/src/test/java/com/google/gson/GsonTest.java
Change Method Access Modifier,Change Method Access Modifier,True,src/test/java/org/apache/commons/collections4/map/AbstractMapTest.java
Add Method Annotation,Add Method Annotation,True,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java
