refactoring_type,predicted,correct,file_path
Add Class Modifier,Extract Method,False,server/src/main/java/org/elasticsearch/index/codec/tsdb/DocValuesForUtil.java
Rename Parameter,Rename Variable,False,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/ilm/AsyncWaitStep.java
Add Parameter,Add Parameter,True,x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/expression/function/DocsV3Support.java
Move Attribute,Add Attribute Annotation,False,server/src/main/java/org/elasticsearch/repositories/blobstore/BlobStoreRepository.java
Rename Variable,Rename Parameter,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/TopIntAggregatorFunction.java
Remove Attribute Modifier,Rename Attribute,False,x-pack/plugin/migrate/src/test/java/org/elasticsearch/system_indices/action/TransportGetFeatureUpgradeStatusActionTests.java
Rename Parameter,Rename Variable,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/spatial/SpatialExtentCartesianPointSourceValuesAggregatorFunction.java
Change Variable Type,Change Variable Type,True,x-pack/plugin/ilm/src/test/java/org/elasticsearch/xpack/cluster/metadata/MetadataMigrateToDataTiersRoutingServiceTests.java
Change Variable Type,Change Variable Type,True,libs/x-content/impl/src/main/java/org/elasticsearch/xcontent/provider/json/JsonXContentParser.java
Rename Variable,Extract Variable,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/SampleBytesRefAggregatorFunction.java
Rename Parameter,Extract Variable,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/spatial/SpatialExtentCartesianShapeDocValuesGroupingAggregatorFunction.java
Rename Parameter,Extract Variable,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/ValuesBytesRefGroupingAggregatorFunction.java
Parameterize Variable,Add Variable Modifier,False,server/src/main/java/org/elasticsearch/index/codec/vectors/cluster/KMeansLocal.java
Rename Parameter,Change Return Type,False,x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/expression/function/aggregate/RateTests.java
Rename Method,Rename Method,True,x-pack/plugin/esql/compute/src/test/java/org/elasticsearch/compute/operator/ChangePointOperatorTests.java
Rename Parameter,Rename Parameter,True,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/SumFloatGroupingAggregatorFunction.java
Extract Method,Extract Method,True,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/PercentileIntGroupingAggregatorFunction.java
Rename Variable,Rename Parameter,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/ValuesFloatGroupingAggregatorFunction.java
Rename Variable,Rename Variable,True,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/spatial/SpatialExtentCartesianPointSourceValuesAggregatorFunction.java
Change Attribute Type,Rename Attribute,False,server/src/main/java/org/elasticsearch/repositories/RepositoriesStats.java
Localize Parameter,Add Variable Modifier,False,server/src/main/java/org/elasticsearch/index/codec/tsdb/es819/DocValuesConsumerUtil.java
Rename Variable,Extract Variable,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/MaxBooleanGroupingAggregatorFunction.java
Rename Variable,Rename Parameter,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/StdDevLongGroupingAggregatorFunction.java
Rename Variable,Inline Variable,False,server/src/main/java/org/elasticsearch/index/codec/vectors/cluster/KMeansLocal.java
Change Variable Type,Parameterize Variable,False,x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/ValuesDoubleAggregator.java
Extract Variable,Rename Parameter,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/MaxDoubleGroupingAggregatorFunction.java
Extract Variable,Rename Variable,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/CountDistinctFloatGroupingAggregatorFunction.java
Rename Variable,Rename Variable,True,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/spatial/SpatialExtentCartesianShapeSourceValuesAggregatorFunction.java
Rename Method,Move Attribute,False,x-pack/plugin/esql/compute/src/main/java/org/elasticsearch/compute/lucene/read/SingletonDoubleBuilder.java
Rename Variable,Extract Variable,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/ValuesBooleanGroupingAggregatorFunction.java
Change Return Type,Change Return Type,True,server/src/main/java/org/elasticsearch/repositories/Repository.java
Rename Variable,Rename Variable,True,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/PercentileFloatAggregatorFunction.java
Rename Variable,Rename Variable,True,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/TopBytesRefAggregatorFunction.java
Rename Variable,Change Parameter Type,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/StdDevFloatGroupingAggregatorFunction.java
Change Attribute Type,Change Attribute Type,True,x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/expression/function/AbstractFunctionTestCase.java
Add Parameter,Add Parameter,True,modules/repository-gcs/src/main/java/org/elasticsearch/repositories/gcs/GoogleCloudStorageBlobStore.java
Extract Variable,Rename Parameter,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/SumDoubleGroupingAggregatorFunction.java
Rename Attribute,Rename Attribute,True,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/ilm/UpdateSettingsStep.java
Extract Method,Extract Method,True,server/src/main/java/org/elasticsearch/index/codec/vectors/DefaultIVFVectorsReader.java
Add Parameter,Add Parameter,True,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/FirstOverTimeIntGroupingAggregatorFunction.java
Rename Parameter,Rename Variable,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/spatial/SpatialExtentCartesianShapeSourceValuesAggregatorFunction.java
Rename Variable,Extract Variable,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/FirstOverTimeDoubleGroupingAggregatorFunction.java
Change Parameter Type,Change Parameter Type,True,server/src/main/java/org/elasticsearch/index/codec/tsdb/es819/BulkNumericDocValues.java
Rename Variable,Rename Parameter,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/LastOverTimeDoubleGroupingAggregatorFunction.java
Add Class Modifier,Change Type Declaration Kind,False,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/planner/LocalExecutionPlanner.java
Change Parameter Type,Rename Variable,False,x-pack/plugin/esql/compute/src/test/java/org/elasticsearch/compute/aggregation/CountDistinctBytesRefAggregatorFunctionTests.java
Rename Method,Extract Method,False,x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/parser/StatementParserTests.java
Add Variable Modifier,Rename Variable,False,x-pack/plugin/esql/qa/server/src/main/java/org/elasticsearch/xpack/esql/qa/rest/generative/command/pipe/ForkGenerator.java
Change Variable Type,Change Variable Type,True,x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/expression/function/DocsV3Support.java
Rename Variable,Rename Variable,True,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/MaxLongAggregatorFunction.java
Merge Parameter,Remove Parameter,False,server/src/main/java/org/elasticsearch/transport/ProxyConnectionStrategy.java
Add Parameter,Add Parameter,True,x-pack/plugin/inference/src/main/java/org/elasticsearch/xpack/inference/rank/textsimilarity/TextSimilarityRankBuilder.java
Add Thrown Exception Type,Add Parameter,False,x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/inference/rerank/RerankOperatorRequestIteratorTests.java
Rename Variable,Extract Variable,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/MaxBytesRefGroupingAggregatorFunction.java
Change Method Access Modifier,Change Method Access Modifier,True,server/src/main/java/org/elasticsearch/cluster/routing/TsidBuilder.java
Add Attribute Modifier,Remove Attribute Modifier,False,server/src/main/java/org/elasticsearch/cluster/routing/allocation/allocator/DesiredBalanceMetrics.java
Extract Variable,Rename Parameter,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/PercentileLongGroupingAggregatorFunction.java
Rename Parameter,Rename Variable,False,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/spatial/SpatialExtentCartesianShapeDocValuesAggregatorFunction.java
Rename Variable,Change Variable Type,False,x-pack/plugin/ilm/src/test/java/org/elasticsearch/xpack/cluster/metadata/MetadataMigrateToDataTiersRoutingServiceTests.java
Move Method,Replace Anonymous With Lambda,False,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/expression/function/scalar/date/DateTrunc.java
Rename Variable,Rename Variable,True,x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/inference/InferenceRunnerTests.java
Change Variable Type,Change Return Type,False,x-pack/plugin/esql/compute/src/main/java/org/elasticsearch/compute/data/AggregateMetricDoubleBlock.java
Change Variable Type,Rename Variable,False,x-pack/plugin/inference/src/main/java/org/elasticsearch/xpack/inference/InferencePlugin.java
Add Parameter,Add Parameter,True,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/type/KeywordEsField.java
Rename Parameter,Change Return Type,False,server/src/main/java/org/elasticsearch/index/snapshots/IndexShardSnapshotStatus.java
Change Attribute Type,Rename Attribute,False,server/src/main/java/org/elasticsearch/index/mapper/vectors/SparseVectorFieldMapper.java
Extract Method,Extract Method,True,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/SampleBytesRefAggregatorFunction.java
Change Parameter Type,Change Parameter Type,True,x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/FirstOverTimeFloatAggregator.java
