case_id,file_path,actual_refactoring,ml_prediction,llm_prediction,ml_correct,llm_correct,lines_changed,complexity,improved_llm_prediction,improved_llm_correct
1,platform/platform-tests/testSrc/com/intellij/psi/i...,Extract Variable,Extract Variable,TBD,True,False,14,1,Add Method Annotation,False
2,platform/analysis-api/src/com/intellij/openapi/vfs...,Change Attribute Type,Rename Attribute,TBD,False,False,1,1,Add Method Annotation,False
3,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,TBD,True,False,1,1,Add Parameter Annotation,True
4,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,TBD,True,False,1,1,Add Parameter Annotation,True
5,platform/lang-impl/src/com/intellij/codeInsight/co...,Remove Parameter Modifier,Add Parameter Annotation,TBD,False,False,1,1,Add Method Annotation,False
6,platform/platform-impl/src/com/intellij/openapi/wm...,Replace Anonymous With Class,Add Class Annotation,TBD,False,False,44,1,Add Method Annotation,False
7,platform/xdebugger-impl/src/com/intellij/xdebugger...,Add Method Annotation,Add Method Annotation,TBD,True,False,3,1,Extract Variable,False
8,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,TBD,True,False,1,1,Add Parameter Annotation,True
9,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Attribute Annotation,Add Parameter Annotation,TBD,False,False,1,1,Add Method Annotation,False
10,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,TBD,True,False,1,1,Add Parameter Annotation,True
11,platform/lang-impl/src/com/intellij/codeInsight/co...,Remove Parameter Modifier,Add Parameter Annotation,TBD,False,False,1,1,Add Method Annotation,False
12,plugins/kotlin/idea/tests/test/org/jetbrains/kotli...,Modify Class Annotation,Modify Class Annotation,TBD,True,False,1,1,Add Method Annotation,False
13,platform/analysis-api/src/com/intellij/openapi/vfs...,Extract Method,Extract Method,TBD,True,False,14,1,Extract Method,True
14,platform/lang-impl/src/com/intellij/codeInsight/co...,Extract Method,Extract Method,TBD,True,False,38,1,Extract Method,True
15,platform/util/testSrc/com/intellij/util/Environmen...,Change Method Access Modifier,Change Method Access Modifier,TBD,True,False,7,1,Rename Method,False
16,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,TBD,True,False,1,1,Add Parameter Annotation,True
17,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,TBD,True,False,1,1,Add Parameter Annotation,True
18,platform/analysis-api/src/com/intellij/openapi/vfs...,Remove Attribute Modifier,Rename Attribute,TBD,False,False,1,1,Add Method Annotation,False
