test_id,project,domain,actual_refactoring,before_code,after_code,llm_prompt
commons_lang_1,commons_lang,Utility Library,Extract And Move Method,"public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","public class StringUtils {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","
I will show you two versions of Java code - before and after a refactoring. Please identify the specific type of refactoring that was applied.

BEFORE:
```java
public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

AFTER:
```java
public class StringUtils {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

What type of refactoring was applied? Please provide just the refactoring type name (e.g., ""Extract Method"", ""Rename Variable"", ""Change Parameter Type"", etc.).
"
commons_lang_2,commons_lang,Utility Library,Extract And Move Method,"public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","public class StringUtils {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","
I will show you two versions of Java code - before and after a refactoring. Please identify the specific type of refactoring that was applied.

BEFORE:
```java
public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

AFTER:
```java
public class StringUtils {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

What type of refactoring was applied? Please provide just the refactoring type name (e.g., ""Extract Method"", ""Rename Variable"", ""Change Parameter Type"", etc.).
"
commons_lang_3,commons_lang,Utility Library,Add Class Modifier,"public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","public class StringUtils {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","
I will show you two versions of Java code - before and after a refactoring. Please identify the specific type of refactoring that was applied.

BEFORE:
```java
public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

AFTER:
```java
public class StringUtils {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

What type of refactoring was applied? Please provide just the refactoring type name (e.g., ""Extract Method"", ""Rename Variable"", ""Change Parameter Type"", etc.).
"
commons_lang_4,commons_lang,Utility Library,Add Class Modifier,"public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","public class StringUtils {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","
I will show you two versions of Java code - before and after a refactoring. Please identify the specific type of refactoring that was applied.

BEFORE:
```java
public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

AFTER:
```java
public class StringUtils {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

What type of refactoring was applied? Please provide just the refactoring type name (e.g., ""Extract Method"", ""Rename Variable"", ""Change Parameter Type"", etc.).
"
commons_lang_5,commons_lang,Utility Library,Parameterize Variable,"public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","public class StringUtils {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","
I will show you two versions of Java code - before and after a refactoring. Please identify the specific type of refactoring that was applied.

BEFORE:
```java
public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

AFTER:
```java
public class StringUtils {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

What type of refactoring was applied? Please provide just the refactoring type name (e.g., ""Extract Method"", ""Rename Variable"", ""Change Parameter Type"", etc.).
"
commons_lang_6,commons_lang,Utility Library,Parameterize Variable,"public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","public class StringUtils {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","
I will show you two versions of Java code - before and after a refactoring. Please identify the specific type of refactoring that was applied.

BEFORE:
```java
public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

AFTER:
```java
public class StringUtils {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

What type of refactoring was applied? Please provide just the refactoring type name (e.g., ""Extract Method"", ""Rename Variable"", ""Change Parameter Type"", etc.).
"
commons_lang_7,commons_lang,Utility Library,Rename Method,"public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","public class StringUtils {
    public void handleData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","
I will show you two versions of Java code - before and after a refactoring. Please identify the specific type of refactoring that was applied.

BEFORE:
```java
public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

AFTER:
```java
public class StringUtils {
    public void handleData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

What type of refactoring was applied? Please provide just the refactoring type name (e.g., ""Extract Method"", ""Rename Variable"", ""Change Parameter Type"", etc.).
"
commons_lang_8,commons_lang,Utility Library,Rename Method,"public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","public class StringUtils {
    public void handleData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","
I will show you two versions of Java code - before and after a refactoring. Please identify the specific type of refactoring that was applied.

BEFORE:
```java
public class StringUtils {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

AFTER:
```java
public class StringUtils {
    public void handleData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

What type of refactoring was applied? Please provide just the refactoring type name (e.g., ""Extract Method"", ""Rename Variable"", ""Change Parameter Type"", etc.).
"
intellij_1,intellij,IDE,Add Parameter Annotation,"public class IDEComponent {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","public class IDEComponent {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","
I will show you two versions of Java code - before and after a refactoring. Please identify the specific type of refactoring that was applied.

BEFORE:
```java
public class IDEComponent {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

AFTER:
```java
public class IDEComponent {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

What type of refactoring was applied? Please provide just the refactoring type name (e.g., ""Extract Method"", ""Rename Variable"", ""Change Parameter Type"", etc.).
"
intellij_2,intellij,IDE,Add Parameter Annotation,"public class IDEComponent {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","public class IDEComponent {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}","
I will show you two versions of Java code - before and after a refactoring. Please identify the specific type of refactoring that was applied.

BEFORE:
```java
public class IDEComponent {
    public void processData() {
        System.out.println(""Processing data"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

AFTER:
```java
public class IDEComponent {
    public void processData() {
        System.out.println(""Processing data - modified"");
    }
    
    public String getInfo() {
        return ""Component info"";
    }
}
```

What type of refactoring was applied? Please provide just the refactoring type name (e.g., ""Extract Method"", ""Rename Variable"", ""Change Parameter Type"", etc.).
"
